ARG_hit_id	genome_id	genome_set	is_rep99	genus	species	source_type	ARG_gene	ARG_class
ARGH_000058	LABG_000416	MQ	no	Lactobacillus	Lactobacillus sp910589675	animal	fexB	phenicol
ARGH_000059	LABG_000416	MQ	no	Lactobacillus	Lactobacillus sp910589675	animal	poxtA	multidrug
ARGH_000060	LABG_000417	Rep99	yes	Lactobacillus	Lactobacillus sp945980025	animal	fexB	phenicol
ARGH_000061	LABG_000418	MQ	no	Limosilactobacillus	Limosilactobacillus reuteri	animal	tet(B)	tetracycline
ARGH_000062	LABG_000418	MQ	no	Limosilactobacillus	Limosilactobacillus reuteri	animal	tetR	tetracycline
ARGH_000063	LABG_000419	MQ	no	Lactobacillus	Lactobacillus amylovorus	animal	aadS	aminoglycoside
ARGH_000064	LABG_000419	MQ	no	Lactobacillus	Lactobacillus amylovorus	animal	EreD	MLS
ARGH_000065	LABG_000419	MQ	no	Lactobacillus	Lactobacillus amylovorus	animal	tet(X)	tetracycline
ARGH_000066	LABG_000419	MQ	no	Lactobacillus	Lactobacillus amylovorus	animal	vatE	MLS
ARGH_000067	LABG_000420	MQ	no	Lactobacillus	Lactobacillus amylovorus	animal	ANT(6)-Ia	aminoglycoside
ARGH_000068	LABG_000420	MQ	no	Lactobacillus	Lactobacillus amylovorus	animal	vatE	MLS
ARGH_000069	LABG_000421	MQ	no	Lactobacillus	Lactobacillus sp910589675	animal	catA8	phenicol
ARGH_000070	LABG_000423	Rep99	yes	Lactobacillus	Lactobacillus amylovorus	animal	fexA	phenicol
ARGH_000071	LABG_000423	Rep99	yes	Lactobacillus	Lactobacillus amylovorus	animal	vatE	MLS
ARGH_000072	LABG_000424	MQ	no	Limosilactobacillus	Limosilactobacillus reuteri_I	animal	Escherichia coli emrE	MLS
ARGH_000073	LABG_000425	MQ	no	Limosilactobacillus	Limosilactobacillus reuteri_I	animal	fexA	phenicol
ARGH_000074	LABG_000425	MQ	no	Limosilactobacillus	Limosilactobacillus reuteri_I	animal	SAT-4	aminoglycoside
ARGH_000075	LABG_000425	MQ	no	Limosilactobacillus	Limosilactobacillus reuteri_I	animal	tet(B)	tetracycline
ARGH_000076	LABG_000425	MQ	no	Limosilactobacillus	Limosilactobacillus reuteri_I	animal	tetR	tetracycline
ARGH_000077	LABG_000426	MQ	no	Lactobacillus	Lactobacillus sp945980025	animal	fexA	phenicol
ARGH_000078	LABG_000427	MQ	no	Lactobacillus	Lactobacillus sp910589675	animal	fexA	phenicol
ARGH_000079	LABG_000428	MQ	no	Limosilactobacillus	Limosilactobacillus reuteri	animal	lnuA	MLS
ARGH_000080	LABG_000429	MQ	no	Lactobacillus	Lactobacillus sp910589675	animal	aad(6)	aminoglycoside
ARGH_000081	LABG_000429	MQ	no	Lactobacillus	Lactobacillus sp910589675	animal	APH(3')-IIIa	aminoglycoside
ARGH_000082	LABG_000429	MQ	no	Lactobacillus	Lactobacillus sp910589675	animal	CfxA2	beta-lactam
ARGH_000083	LABG_000429	MQ	no	Lactobacillus	Lactobacillus sp910589675	animal	ErmB	MLS
ARGH_000084	LABG_000429	MQ	no	Lactobacillus	Lactobacillus sp910589675	animal	SAT-4	aminoglycoside
ARGH_000085	LABG_000429	MQ	no	Lactobacillus	Lactobacillus sp910589675	animal	tet(X)	tetracycline
ARGH_000086	LABG_000430	MQ	no	Limosilactobacillus	Limosilactobacillus reuteri_I	animal	APH(2'')-IIIa	aminoglycoside
ARGH_000087	LABG_000430	MQ	no	Limosilactobacillus	Limosilactobacillus reuteri_I	animal	tet(O)	tetracycline
ARGH_000088	LABG_000431	MQ	no	Lactobacillus	Lactobacillus sp910589675	animal	cmx	phenicol
ARGH_000089	LABG_000431	MQ	no	Lactobacillus	Lactobacillus sp910589675	animal	ErmF	MLS
ARGH_000090	LABG_000431	MQ	no	Lactobacillus	Lactobacillus sp910589675	animal	ErmG	MLS
ARGH_000091	LABG_000431	MQ	no	Lactobacillus	Lactobacillus sp910589675	animal	lnuA	MLS
ARGH_000092	LABG_000431	MQ	no	Lactobacillus	Lactobacillus sp910589675	animal	lnuC	MLS
ARGH_000093	LABG_000431	MQ	no	Lactobacillus	Lactobacillus sp910589675	animal	poxtA	multidrug
ARGH_000094	LABG_000431	MQ	no	Lactobacillus	Lactobacillus sp910589675	animal	SAT-4	aminoglycoside
ARGH_000095	LABG_000432	MQ	no	Lactobacillus	Lactobacillus sp910589675	animal	fexB	phenicol
ARGH_000096	LABG_000433	MQ	no	Ligilactobacillus	Ligilactobacillus animalis	animal	dfrG	trimethoprim
ARGH_000097	LABG_000435	MQ	no	Lactobacillus	Lactobacillus amylovorus	animal	tet(X)	tetracycline
ARGH_000098	LABG_000436	MQ	no	Limosilactobacillus	Limosilactobacillus reuteri	animal	tet(X)	tetracycline
ARGH_000099	LABG_000437	Rep99	yes	Lactobacillus	Lactobacillus sp945980025	animal	fexB	phenicol
ARGH_000100	LABG_000437	Rep99	yes	Lactobacillus	Lactobacillus sp945980025	animal	lnuA	MLS
ARGH_000101	LABG_000444	MQ	no	Limosilactobacillus	Limosilactobacillus reuteri_I	animal	sul2	sulfonamide
ARGH_000102	LABG_000445	MQ	no	Lactobacillus	Lactobacillus sp910589675	animal	fexB	phenicol
ARGH_000103	LABG_000446	Rep99	yes	Ligilactobacillus	Ligilactobacillus agilis	animal	dfrG	trimethoprim
ARGH_000104	LABG_000447	Rep99	yes	Pediococcus	Pediococcus pentosaceus	animal	mef(F)	MLS
ARGH_000105	LABG_000447	Rep99	yes	Pediococcus	Pediococcus pentosaceus	animal	msr(G)	MLS
ARGH_000106	LABG_000448	MQ	no	Lactobacillus	Lactobacillus sp945980025	animal	tet(L)	tetracycline
ARGH_000107	LABG_000449	MQ	no	Ligilactobacillus	Ligilactobacillus animalis	animal	dfrG	trimethoprim
ARGH_000108	LABG_000450	MQ	no	Limosilactobacillus	Limosilactobacillus reuteri_I	animal	fexA	phenicol
ARGH_000109	LABG_000451	MQ	no	Lactobacillus	Lactobacillus sp910589675	animal	fexB	phenicol
ARGH_000110	LABG_000451	MQ	no	Lactobacillus	Lactobacillus sp910589675	animal	lnuB	MLS
ARGH_000111	LABG_000451	MQ	no	Lactobacillus	Lactobacillus sp910589675	animal	lsaE	multidrug
ARGH_000112	LABG_000452	MQ	no	Lactobacillus	Lactobacillus amylovorus	animal	lnuA	MLS
ARGH_000113	LABG_000453	MQ	no	Ligilactobacillus	Ligilactobacillus animalis	animal	dfrG	trimethoprim
ARGH_000114	LABG_000454	MQ	no	Lactobacillus	Lactobacillus amylovorus	animal	dfrA20	trimethoprim
ARGH_000115	LABG_000455	MQ	no	Lactobacillus	Lactobacillus sp910589675	animal	fexB	phenicol
ARGH_000116	LABG_000456	MQ	no	Lactobacillus	Lactobacillus amylovorus	animal	lnuA	MLS
ARGH_000117	LABG_000456	MQ	no	Lactobacillus	Lactobacillus amylovorus	animal	tet(X)	tetracycline
ARGH_000118	LABG_000457	MQ	no	Limosilactobacillus	Limosilactobacillus reuteri	animal	vatE	MLS
ARGH_000119	LABG_000458	MQ	no	Lactobacillus	Lactobacillus sp945980025	animal	ErmA	MLS
ARGH_000120	LABG_000462	MQ	no	Ligilactobacillus	Ligilactobacillus faecis	animal	ErmC	MLS
ARGH_000121	LABG_000464	MQ	no	Limosilactobacillus	Limosilactobacillus reuteri_I	animal	vatE	MLS
ARGH_000122	LABG_000468	MQ	no	Ligilactobacillus	Ligilactobacillus animalis	animal	dfrG	trimethoprim
ARGH_000123	LABG_000469	MQ	no	Ligilactobacillus	Ligilactobacillus faecis	animal	ErmC	MLS
ARGH_000124	LABG_000470	MQ	no	Limosilactobacillus	Limosilactobacillus reuteri_I	animal	vatE	MLS
ARGH_000125	LABG_000471	MQ	no	Lactobacillus	Lactobacillus sp945980025	animal	fexB	phenicol
ARGH_000126	LABG_000472	MQ	no	Limosilactobacillus	Limosilactobacillus reuteri_I	animal	lnuA	MLS
ARGH_000127	LABG_000474	Rep99	yes	Ligilactobacillus	Ligilactobacillus agilis	animal	dfrG	trimethoprim
ARGH_000128	LABG_000477	MQ	no	Lactobacillus	Lactobacillus amylovorus	animal	cfrA	multidrug
ARGH_000129	LABG_000478	Rep99	yes	Lactobacillus	Lactobacillus sp910589675	animal	fexB	phenicol
ARGH_000130	LABG_000479	MQ	no	Lactobacillus	Lactobacillus amylovorus	animal	ErmG	MLS
ARGH_000131	LABG_000479	MQ	no	Lactobacillus	Lactobacillus amylovorus	animal	poxtA	multidrug
ARGH_000132	LABG_000479	MQ	no	Lactobacillus	Lactobacillus amylovorus	animal	vatE	MLS
ARGH_000133	LABG_000480	MQ	no	Lactobacillus	Lactobacillus amylovorus	animal	tet(X4)	tetracycline
ARGH_000134	LABG_000483	Rep99	yes	Lactobacillus	Lactobacillus sp910589675	animal	fexA	phenicol
ARGH_000135	LABG_000484	MQ	no	Ligilactobacillus	Ligilactobacillus animalis	animal	dfrG	trimethoprim
ARGH_000136	LABG_000485	MQ	no	Lactobacillus	Lactobacillus sp945980025	animal	fexB	phenicol
ARGH_000137	LABG_000486	Rep99	yes	Lactobacillus	Lactobacillus sp910589675	animal	fexA	phenicol
ARGH_000138	LABG_000488	Rep99	yes	Lapidilactobacillus	Lapidilactobacillus dextrinicus	animal	tet(B)	tetracycline
ARGH_000139	LABG_000488	Rep99	yes	Lapidilactobacillus	Lapidilactobacillus dextrinicus	animal	tetR	tetracycline
ARGH_000140	LABG_000489	Rep99	yes	Lactobacillus	Lactobacillus sp945980025	animal	fexB	phenicol
ARGH_000141	LABG_000490	MQ	no	Limosilactobacillus	Limosilactobacillus reuteri	animal	fexA	phenicol
ARGH_000142	LABG_000490	MQ	no	Limosilactobacillus	Limosilactobacillus reuteri	animal	tet(32)	tetracycline
ARGH_000143	LABG_000491	Rep99	yes	Lactobacillus	Lactobacillus sp910589675	animal	fexB	phenicol
ARGH_000144	LABG_000492	Rep99	yes	Lactobacillus	Lactobacillus sp910589675	animal	dfrG	trimethoprim
ARGH_000145	LABG_000493	MQ	no	Limosilactobacillus	Limosilactobacillus reuteri_I	animal	fexA	phenicol
ARGH_000146	LABG_000494	MQ	no	Limosilactobacillus	Limosilactobacillus reuteri	animal	lnuA	MLS
ARGH_000147	LABG_000495	MQ	no	Lactobacillus	Lactobacillus sp945980025	animal	fexB	phenicol
ARGH_000148	LABG_000496	MQ	no	Lactobacillus	Lactobacillus sp910589675	animal	fexB	phenicol
ARGH_000149	LABG_000497	Rep99	yes	Lactobacillus	Lactobacillus sp945980025	animal	fexB	phenicol
ARGH_000150	LABG_000498	Rep99	yes	Lactobacillus	Lactobacillus sp910589675	animal	fexB	phenicol
ARGH_000151	LABG_000499	MQ	no	Limosilactobacillus	Limosilactobacillus reuteri	animal	fexA	phenicol
ARGH_000152	LABG_000502	MQ	no	Lactobacillus	Lactobacillus sp945980025	animal	fexB	phenicol
ARGH_000153	LABG_000504	MQ	no	Lactobacillus	Lactobacillus sp945980025	animal	fexB	phenicol
ARGH_000154	LABG_000505	MQ	no	Lactobacillus	Lactobacillus amylovorus	animal	fexA	phenicol
ARGH_000155	LABG_000506	MQ	no	Lactobacillus	Lactobacillus amylovorus	animal	fexA	phenicol
ARGH_000156	LABG_000508	Rep99	yes	Lactobacillus	Lactobacillus sp910589675	animal	fexB	phenicol
ARGH_000157	LABG_000509	MQ	no	Lactobacillus	Lactobacillus sp910589675	animal	fexB	phenicol
ARGH_000158	LABG_000510	Rep99	yes	Lactobacillus	Lactobacillus sp910589675	animal	fexB	phenicol
ARGH_000159	LABG_000513	MQ	no	Ligilactobacillus	Ligilactobacillus animalis	animal	dfrG	trimethoprim
ARGH_000160	LABG_000514	MQ	no	Lactobacillus	Lactobacillus sp910589675	animal	fexB	phenicol
ARGH_000161	LABG_000515	MQ	no	Lactobacillus	Lactobacillus amylovorus	animal	fexA	phenicol
ARGH_000162	LABG_000517	MQ	no	Ligilactobacillus	Ligilactobacillus animalis	animal	dfrG	trimethoprim
ARGH_000163	LABG_000518	MQ	no	Pediococcus	Pediococcus pentosaceus	animal	ANT(9)-Ia	aminoglycoside
ARGH_000164	LABG_000518	MQ	no	Pediococcus	Pediococcus pentosaceus	animal	lnuC	MLS
ARGH_000165	LABG_000520	MQ	no	Limosilactobacillus	Limosilactobacillus reuteri	animal	vatE	MLS
ARGH_000166	LABG_000521	MQ	no	Limosilactobacillus	Limosilactobacillus reuteri	animal	fexA	phenicol
ARGH_000167	LABG_000523	MQ	no	Limosilactobacillus	Limosilactobacillus reuteri_J	animal	Streptococcus suis chloramphenicol acetyltransferase	phenicol
ARGH_000168	LABG_000524	MQ	no	Limosilactobacillus	Limosilactobacillus reuteri_J	animal	vatE	MLS
ARGH_000169	LABG_000525	MQ	no	Limosilactobacillus	Limosilactobacillus intestinavium	animal	APH(3')-Ia	aminoglycoside
ARGH_000170	LABG_000525	MQ	no	Limosilactobacillus	Limosilactobacillus intestinavium	animal	ErmG	MLS
ARGH_000171	LABG_000525	MQ	no	Limosilactobacillus	Limosilactobacillus intestinavium	animal	lnuA	MLS
ARGH_000172	LABG_000525	MQ	no	Limosilactobacillus	Limosilactobacillus intestinavium	animal	lnuB	MLS
ARGH_000173	LABG_000525	MQ	no	Limosilactobacillus	Limosilactobacillus intestinavium	animal	lnuC	MLS
ARGH_000174	LABG_000525	MQ	no	Limosilactobacillus	Limosilactobacillus intestinavium	animal	lnuC	MLS
ARGH_000175	LABG_000525	MQ	no	Limosilactobacillus	Limosilactobacillus intestinavium	animal	lsaE	multidrug
ARGH_000176	LABG_000525	MQ	no	Limosilactobacillus	Limosilactobacillus intestinavium	animal	mef(B)	MLS
ARGH_000177	LABG_000525	MQ	no	Limosilactobacillus	Limosilactobacillus intestinavium	animal	ROB-1	beta-lactam
ARGH_000178	LABG_000525	MQ	no	Limosilactobacillus	Limosilactobacillus intestinavium	animal	tet(B)	tetracycline
ARGH_000179	LABG_000525	MQ	no	Limosilactobacillus	Limosilactobacillus intestinavium	animal	tet(L)	tetracycline
ARGH_000180	LABG_000525	MQ	no	Limosilactobacillus	Limosilactobacillus intestinavium	animal	tetR	tetracycline
ARGH_000181	LABG_000528	MQ	no	Lactobacillus	Lactobacillus amylovorus	animal	ErmA	MLS
ARGH_000182	LABG_000529	Rep99	yes	Ligilactobacillus	Ligilactobacillus ruminis	animal	ErmT	MLS
ARGH_000183	LABG_000530	Rep99	yes	Ligilactobacillus	Ligilactobacillus ruminis	animal	ErmT	MLS
ARGH_000184	LABG_000850	MQ	no	Dellaglioa	Dellaglioa algida	food	tet(M)	tetracycline
ARGH_000185	LABG_000960	Rep99	yes	Lactobacillus	Lactobacillus sp910589675	animal	ErmB	MLS
ARGH_000186	LABG_000961	MQ	no	Lactobacillus	Lactobacillus sp910589675	animal	ErmB	MLS
ARGH_000187	LABG_000961	MQ	no	Lactobacillus	Lactobacillus sp910589675	animal	ErmF	MLS
ARGH_000188	LABG_000961	MQ	no	Lactobacillus	Lactobacillus sp910589675	animal	tet(X)	tetracycline
ARGH_000189	LABG_000962	MQ	no	Lactobacillus	Lactobacillus sp910589675	animal	CfxA6	beta-lactam
ARGH_000190	LABG_000962	MQ	no	Lactobacillus	Lactobacillus sp910589675	animal	ErmB	MLS
ARGH_000191	LABG_000962	MQ	no	Lactobacillus	Lactobacillus sp910589675	animal	tet(O)	tetracycline
ARGH_000192	LABG_000963	MQ	no	Lactobacillus	Lactobacillus amylovorus	animal	ErmF	MLS
ARGH_000193	LABG_000963	MQ	no	Lactobacillus	Lactobacillus amylovorus	animal	Mef(En2)	MLS
ARGH_000194	LABG_000963	MQ	no	Lactobacillus	Lactobacillus amylovorus	animal	tet(X)	tetracycline
ARGH_000195	LABG_000964	MQ	no	Lactobacillus	Lactobacillus amylovorus	animal	vatE	MLS
ARGH_000196	LABG_000965	MQ	no	Lactobacillus	Lactobacillus amylovorus	animal	vatE	MLS
ARGH_000197	LABG_000966	Rep99	yes	Limosilactobacillus	Limosilactobacillus reuteri	animal	vatE	MLS
ARGH_000198	LABG_000967	MQ	no	Lactobacillus	Lactobacillus amylovorus	animal	ErmF	MLS
ARGH_000199	LABG_000967	MQ	no	Lactobacillus	Lactobacillus amylovorus	animal	tet(X)	tetracycline
ARGH_000200	LABG_000968	MQ	no	Lactobacillus	Lactobacillus amylovorus	animal	ErmF	MLS
ARGH_000201	LABG_000968	MQ	no	Lactobacillus	Lactobacillus amylovorus	animal	tet(X)	tetracycline
ARGH_000202	LABG_000969	MQ	no	Lactobacillus	Lactobacillus amylovorus	animal	ErmB	MLS
ARGH_000203	LABG_000970	Rep99	yes	Lactobacillus	Lactobacillus sp910589675	animal	tet(L)	tetracycline
ARGH_000204	LABG_000972	Rep99	yes	Lactobacillus	Lactobacillus sp945980025	animal	ErmB	MLS
ARGH_000205	LABG_000973	MQ	no	Lactobacillus	Lactobacillus amylovorus	animal	CfxA6	beta-lactam
ARGH_000206	LABG_000973	MQ	no	Lactobacillus	Lactobacillus amylovorus	animal	ErmG	MLS
ARGH_000207	LABG_000974	MQ	no	Lactobacillus	Lactobacillus amylovorus	animal	ErmF	MLS
ARGH_000208	LABG_000975	MQ	no	Lactobacillus	Lactobacillus amylovorus	animal	ErmA	MLS
ARGH_000209	LABG_000976	Rep99	yes	Lactobacillus	Lactobacillus amylovorus	animal	ErmA	MLS
ARGH_000210	LABG_000977	MQ	no	Lactobacillus	Lactobacillus amylovorus	animal	ErmA	MLS
ARGH_000211	LABG_000978	MQ	no	Lactobacillus	Lactobacillus amylovorus	animal	ErmA	MLS
ARGH_000212	LABG_000979	MQ	no	Lactobacillus	Lactobacillus amylovorus	animal	ErmA	MLS
ARGH_000213	LABG_000980	MQ	no	Lactobacillus	Lactobacillus amylovorus	animal	ErmA	MLS
ARGH_000214	LABG_000983	MQ	no	Limosilactobacillus	Limosilactobacillus reuteri_I	animal	vatE	MLS
ARGH_000215	LABG_000984	MQ	no	Lactobacillus	Lactobacillus amylovorus	animal	CfxA6	beta-lactam
ARGH_000216	LABG_000984	MQ	no	Lactobacillus	Lactobacillus amylovorus	animal	tet(W)	tetracycline
ARGH_000217	LABG_000985	MQ	no	Lactobacillus	Lactobacillus amylovorus	animal	lnuC	MLS
ARGH_000218	LABG_000989	MQ	no	Lactobacillus	Lactobacillus sp945980025	animal	ErmB	MLS
ARGH_000219	LABG_000990	Rep99	yes	Lactobacillus		animal	dfrK	trimethoprim
ARGH_000220	LABG_000995	MQ	no	Lactobacillus	Lactobacillus johnsonii	animal	Streptococcus suis chloramphenicol acetyltransferase	phenicol
ARGH_000221	LABG_000996	MQ	no	Limosilactobacillus		animal	dfrA1	trimethoprim
ARGH_000222	LABG_000998	MQ	no	Ligilactobacillus	Ligilactobacillus aviarius_C	animal	vatE	MLS
ARGH_000223	LABG_000999	Rep99	yes	Lactobacillus	Lactobacillus sp910589675	animal	ErmF	MLS
ARGH_000224	LABG_001000	Rep99	yes	Lactobacillus	Lactobacillus johnsonii	animal	ErmB	MLS
ARGH_000225	LABG_001000	Rep99	yes	Lactobacillus	Lactobacillus johnsonii	animal	Mef(En2)	MLS
ARGH_000226	LABG_001001	Rep99	yes	Ligilactobacillus	Ligilactobacillus salivarius	animal	tet(44)	tetracycline
ARGH_000227	LABG_001002	MQ	no	Limosilactobacillus	Limosilactobacillus vaginalis	animal	vatE	MLS
ARGH_000228	LABG_001003	Rep99	yes	Limosilactobacillus	Limosilactobacillus reuteri_E	animal	tet(B)	tetracycline
ARGH_000229	LABG_001003	Rep99	yes	Limosilactobacillus	Limosilactobacillus reuteri_E	animal	tetR	tetracycline
ARGH_000230	LABG_001005	Rep99	yes	Lactobacillus	Lactobacillus gallinarum	animal	lnuC	MLS
ARGH_000231	LABG_001006	Rep99	yes	Lactobacillus	Lactobacillus crispatus	animal	ANT(9)-Ia	aminoglycoside
ARGH_000232	LABG_001007	Rep99	yes	Ligilactobacillus	Ligilactobacillus salivarius	animal	ErmG	MLS
ARGH_000233	LABG_001008	MQ	no	Lactobacillus	Lactobacillus johnsonii	animal	dfrD	trimethoprim
ARGH_000234	LABG_001008	MQ	no	Lactobacillus	Lactobacillus johnsonii	animal	dfrK	trimethoprim
ARGH_000235	LABG_001008	MQ	no	Lactobacillus	Lactobacillus johnsonii	animal	Streptococcus suis chloramphenicol acetyltransferase	phenicol
ARGH_000236	LABG_001008	MQ	no	Lactobacillus	Lactobacillus johnsonii	animal	tet(L)	tetracycline
ARGH_000237	LABG_001009	MQ	no	Lactobacillus	Lactobacillus sp910589675	animal	ErmB	MLS
ARGH_000238	LABG_001010	Rep99	yes	Ligilactobacillus	Ligilactobacillus salivarius	animal	ANT(4')-Ia	aminoglycoside
ARGH_000239	LABG_001010	Rep99	yes	Ligilactobacillus	Ligilactobacillus salivarius	animal	dfrK	trimethoprim
ARGH_000240	LABG_001010	Rep99	yes	Ligilactobacillus	Ligilactobacillus salivarius	animal	tet(L)	tetracycline
ARGH_000241	LABG_001015	Rep99	yes	Lactobacillus	Lactobacillus sp945980025	animal	vatE	MLS
ARGH_000242	LABG_001016	Rep99	yes	Paucilactobacillus	Paucilactobacillus hokkaidonensis	animal	vatE	MLS
ARGH_000243	LABG_001017	MQ	no	Lactobacillus	Lactobacillus amylovorus	animal	ErmT	MLS
