genome_id	genome_set	genus	species	source_type	ARG_positive	ARG_hit_count	ARG_gene_count	ARG_class_count
LABG_000052	Rep99	Dellaglioa		food	no	0	0	0
LABG_000053	Rep99	Levilactobacillus	Levilactobacillus cerevisiae	food	no	0	0	0
LABG_000054	Rep99	Latilactobacillus	Latilactobacillus fuchuensis	food	no	0	0	0
LABG_000055	Rep99	Latilactobacillus	Latilactobacillus fuchuensis	food	no	0	0	0
LABG_000056	Rep99	Latilactobacillus	Latilactobacillus sakei	food	no	0	0	0
LABG_000057	MQ	Levilactobacillus	Levilactobacillus brevis	food	no	0	0	0
LABG_000058	MQ	Companilactobacillus	Companilactobacillus versmoldensis	food	no	0	0	0
LABG_000059	MQ	Levilactobacillus	Levilactobacillus brevis	food	no	0	0	0
LABG_000060	MQ	Latilactobacillus	Latilactobacillus curvatus	food	no	0	0	0
LABG_000061	MQ	Companilactobacillus	Companilactobacillus versmoldensis	food	no	0	0	0
LABG_000062	Rep99	Latilactobacillus	Latilactobacillus sakei	food	no	0	0	0
LABG_000063	MQ	Latilactobacillus	Latilactobacillus curvatus	food	no	0	0	0
LABG_000064	MQ	Latilactobacillus	Latilactobacillus sakei	food	no	0	0	0
LABG_000065	MQ	Latilactobacillus	Latilactobacillus sakei	food	no	0	0	0
LABG_000066	MQ	Weissella	Weissella thailandensis	food	no	0	0	0
LABG_000067	MQ	Weissella	Weissella sagaensis	food	no	0	0	0
LABG_000068	MQ	Latilactobacillus	Latilactobacillus curvatus	food	no	0	0	0
LABG_000069	MQ	Weissella	Weissella sagaensis	food	no	0	0	0
LABG_000070	MQ	Leuconostoc	Leuconostoc mesenteroides	food	no	0	0	0
LABG_000071	MQ	Leuconostoc	Leuconostoc mesenteroides	food	no	0	0	0
LABG_000072	MQ	Leuconostoc	Leuconostoc mesenteroides	food	no	0	0	0
LABG_000073	MQ	Lacticaseibacillus	Lacticaseibacillus paracasei	food	no	0	0	0
LABG_000074	MQ	Leuconostoc	Leuconostoc mesenteroides	food	no	0	0	0
LABG_000075	MQ	Lacticaseibacillus	Lacticaseibacillus paracasei	food	no	0	0	0
LABG_000076	MQ	Companilactobacillus	Companilactobacillus versmoldensis	food	no	0	0	0
LABG_000077	MQ	Lacticaseibacillus	Lacticaseibacillus rhamnosus	food	no	0	0	0
LABG_000078	MQ	Lacticaseibacillus	Lacticaseibacillus rhamnosus	food	no	0	0	0
LABG_000079	MQ	Lentilactobacillus	Lentilactobacillus parabuchneri	food	no	0	0	0
LABG_000080	Rep99	Loigolactobacillus	Loigolactobacillus coryniformis	food	no	0	0	0
LABG_000081	MQ	Lentilactobacillus	Lentilactobacillus otakiensis	food	no	0	0	0
LABG_000082	Rep99	Latilactobacillus	Latilactobacillus sakei	food	no	0	0	0
LABG_000083	MQ	Lentilactobacillus	Lentilactobacillus otakiensis	food	no	0	0	0
LABG_000084	MQ	Leuconostoc	Leuconostoc mesenteroides	food	no	0	0	0
LABG_000085	MQ	Latilactobacillus	Latilactobacillus curvatus	food	no	0	0	0
LABG_000086	MQ	Lactiplantibacillus	Lactiplantibacillus plantarum	food	no	0	0	0
LABG_000087	MQ	Loigolactobacillus	Loigolactobacillus coryniformis	food	no	0	0	0
LABG_000088	MQ	Lactiplantibacillus	Lactiplantibacillus plantarum	food	no	0	0	0
LABG_000089	MQ	Loigolactobacillus	Loigolactobacillus coryniformis	food	no	0	0	0
LABG_000090	MQ	Leuconostoc	Leuconostoc falkenbergense	food	no	0	0	0
LABG_000091	MQ	Lactiplantibacillus	Lactiplantibacillus plantarum	food	no	0	0	0
LABG_000092	MQ	Lacticaseibacillus	Lacticaseibacillus rhamnosus	food	no	0	0	0
LABG_000093	MQ	Lactiplantibacillus	Lactiplantibacillus plantarum	food	no	0	0	0
LABG_000094	MQ	Leuconostoc	Leuconostoc falkenbergense	food	no	0	0	0
LABG_000095	MQ	Leuconostoc	Leuconostoc mesenteroides	food	no	0	0	0
LABG_000096	MQ	Lentilactobacillus	Lentilactobacillus otakiensis	food	no	0	0	0
LABG_000097	MQ	Lacticaseibacillus	Lacticaseibacillus paracasei	food	no	0	0	0
LABG_000098	MQ	Lentilactobacillus	Lentilactobacillus diolivorans	food	no	0	0	0
LABG_000099	Rep99	Loigolactobacillus	Loigolactobacillus coryniformis	food	no	0	0	0
LABG_000100	MQ	Loigolactobacillus	Loigolactobacillus coryniformis	food	no	0	0	0
LABG_000101	MQ	Lentilactobacillus	Lentilactobacillus diolivorans	food	no	0	0	0
LABG_000102	MQ	Lentilactobacillus	Lentilactobacillus otakiensis	food	no	0	0	0
LABG_000103	MQ	Lacticaseibacillus	Lacticaseibacillus paracasei	food	no	0	0	0
LABG_000104	MQ	Leuconostoc	Leuconostoc falkenbergense	food	no	0	0	0
LABG_000105	MQ	Weissella	Weissella thailandensis	food	no	0	0	0
LABG_000106	MQ	Leuconostoc	Leuconostoc mesenteroides	food	no	0	0	0
LABG_000107	MQ	Leuconostoc	Leuconostoc falkenbergense	food	no	0	0	0
LABG_000108	MQ	Leuconostoc	Leuconostoc falkenbergense	food	no	0	0	0
LABG_000109	MQ	Leuconostoc	Leuconostoc mesenteroides	food	no	0	0	0
LABG_000110	MQ	Weissella	Weissella thailandensis	food	no	0	0	0
LABG_000111	MQ	Weissella	Weissella thailandensis	food	no	0	0	0
LABG_000112	MQ	Leuconostoc	Leuconostoc mesenteroides	food	no	0	0	0
LABG_000113	MQ	Lacticaseibacillus	Lacticaseibacillus paracasei	food	no	0	0	0
LABG_000114	MQ	Leuconostoc	Leuconostoc falkenbergense	food	no	0	0	0
LABG_000115	MQ	Leuconostoc	Leuconostoc mesenteroides	food	no	0	0	0
LABG_000116	MQ	Lacticaseibacillus	Lacticaseibacillus paracasei	food	no	0	0	0
LABG_000117	MQ	Leuconostoc	Leuconostoc falkenbergense	food	no	0	0	0
LABG_000118	MQ	Leuconostoc	Leuconostoc falkenbergense	food	no	0	0	0
LABG_000119	MQ	Weissella	Weissella thailandensis	food	no	0	0	0
LABG_000120	MQ	Weissella	Weissella sagaensis	food	no	0	0	0
LABG_000121	MQ	Leuconostoc	Leuconostoc mesenteroides	food	no	0	0	0
LABG_000122	MQ	Weissella	Weissella sagaensis	food	no	0	0	0
LABG_000123	MQ	Leuconostoc	Leuconostoc carnosum	food	no	0	0	0
LABG_000124	MQ	Lacticaseibacillus	Lacticaseibacillus rhamnosus	human	no	0	0	0
LABG_000125	MQ	Pediococcus	Pediococcus acidilactici	human	no	0	0	0
LABG_000126	MQ	Lacticaseibacillus	Lacticaseibacillus rhamnosus	human	no	0	0	0
LABG_000127	MQ	Pediococcus	Pediococcus acidilactici	human	no	0	0	0
LABG_000128	Rep99	Limosilactobacillus	Limosilactobacillus antri	human	no	0	0	0
LABG_000129	MQ	Lacticaseibacillus	Lacticaseibacillus paracasei	human	no	0	0	0
LABG_000130	MQ	Lacticaseibacillus	Lacticaseibacillus rhamnosus	human	no	0	0	0
LABG_000131	MQ	Lactobacillus	Lactobacillus paragasseri	human	no	0	0	0
LABG_000132	MQ	Lacticaseibacillus	Lacticaseibacillus paracasei	human	no	0	0	0
LABG_000133	MQ	Limosilactobacillus	Limosilactobacillus fermentum	human	no	0	0	0
LABG_000134	MQ	Lactobacillus	Lactobacillus paragasseri	human	no	0	0	0
LABG_000135	MQ	Lacticaseibacillus	Lacticaseibacillus paracasei	human	no	0	0	0
LABG_000136	MQ	Lacticaseibacillus	Lacticaseibacillus rhamnosus	human	no	0	0	0
LABG_000137	MQ	Lacticaseibacillus	Lacticaseibacillus paracasei	human	no	0	0	0
LABG_000138	MQ	Lacticaseibacillus	Lacticaseibacillus rhamnosus	human	no	0	0	0
LABG_000139	MQ	Lacticaseibacillus	Lacticaseibacillus rhamnosus	human	no	0	0	0
LABG_000140	MQ	Lacticaseibacillus	Lacticaseibacillus paracasei	human	no	0	0	0
LABG_000141	MQ	Lacticaseibacillus	Lacticaseibacillus paracasei	human	no	0	0	0
LABG_000142	MQ	Lacticaseibacillus	Lacticaseibacillus rhamnosus	human	no	0	0	0
LABG_000143	MQ	Lacticaseibacillus	Lacticaseibacillus rhamnosus	human	no	0	0	0
LABG_000144	MQ	Lacticaseibacillus	Lacticaseibacillus rhamnosus	human	no	0	0	0
LABG_000145	MQ	Lacticaseibacillus	Lacticaseibacillus paracasei	human	no	0	0	0
LABG_000146	MQ	Limosilactobacillus	Limosilactobacillus reuteri	human	no	0	0	0
LABG_000147	MQ	Limosilactobacillus	Limosilactobacillus oris	human	no	0	0	0
LABG_000148	MQ	Limosilactobacillus	Limosilactobacillus mucosae	human	no	0	0	0
LABG_000149	MQ	Lacticaseibacillus	Lacticaseibacillus rhamnosus	human	no	0	0	0
LABG_000150	MQ	Lacticaseibacillus	Lacticaseibacillus rhamnosus	human	no	0	0	0
LABG_000151	MQ	Lacticaseibacillus	Lacticaseibacillus rhamnosus	human	no	0	0	0
LABG_000152	MQ	Lacticaseibacillus	Lacticaseibacillus rhamnosus	human	no	0	0	0
LABG_000153	MQ	Lactobacillus	Lactobacillus delbrueckii	human	no	0	0	0
LABG_000154	MQ	Lactiplantibacillus	Lactiplantibacillus plantarum	human	no	0	0	0
LABG_000155	MQ	Lacticaseibacillus	Lacticaseibacillus paracasei	human	no	0	0	0
LABG_000156	MQ	Limosilactobacillus	Limosilactobacillus reuteri	human	no	0	0	0
LABG_000157	MQ	Lacticaseibacillus	Lacticaseibacillus rhamnosus	human	no	0	0	0
LABG_000158	MQ	Lentilactobacillus	Lentilactobacillus parabuchneri	human	no	0	0	0
LABG_000159	MQ	Lacticaseibacillus	Lacticaseibacillus rhamnosus	human	no	0	0	0
LABG_000160	MQ	Lacticaseibacillus	Lacticaseibacillus rhamnosus	human	no	0	0	0
LABG_000161	MQ	Lacticaseibacillus	Lacticaseibacillus paracasei	human	no	0	0	0
LABG_000162	MQ	Lacticaseibacillus	Lacticaseibacillus paracasei	human	no	0	0	0
LABG_000163	MQ	Lactobacillus	Lactobacillus paragasseri	human	no	0	0	0
LABG_000164	MQ	Lactiplantibacillus	Lactiplantibacillus plantarum	human	no	0	0	0
LABG_000165	MQ	Lacticaseibacillus	Lacticaseibacillus rhamnosus	human	no	0	0	0
LABG_000166	MQ	Lactobacillus	Lactobacillus paragasseri	human	no	0	0	0
LABG_000167	MQ	Lacticaseibacillus	Lacticaseibacillus paracasei	human	no	0	0	0
LABG_000168	MQ	Lactobacillus	Lactobacillus paragasseri	human	no	0	0	0
LABG_000169	MQ	Limosilactobacillus	Limosilactobacillus fermentum	human	no	0	0	0
LABG_000170	MQ	Lacticaseibacillus	Lacticaseibacillus paracasei	human	no	0	0	0
LABG_000171	MQ	Lacticaseibacillus	Lacticaseibacillus paracasei	human	no	0	0	0
LABG_000172	MQ	Lacticaseibacillus	Lacticaseibacillus rhamnosus	human	no	0	0	0
LABG_000173	MQ	Lacticaseibacillus	Lacticaseibacillus paracasei	human	no	0	0	0
LABG_000174	MQ	Lacticaseibacillus	Lacticaseibacillus rhamnosus	human	no	0	0	0
LABG_000175	MQ	Lacticaseibacillus	Lacticaseibacillus rhamnosus	human	no	0	0	0
LABG_000176	MQ	Lacticaseibacillus	Lacticaseibacillus paracasei	human	no	0	0	0
LABG_000177	MQ	Lacticaseibacillus	Lacticaseibacillus rhamnosus	human	no	0	0	0
LABG_000178	MQ	Lacticaseibacillus	Lacticaseibacillus paracasei	human	no	0	0	0
LABG_000179	MQ	Lacticaseibacillus	Lacticaseibacillus rhamnosus	human	no	0	0	0
LABG_000180	MQ	Lacticaseibacillus	Lacticaseibacillus rhamnosus	human	no	0	0	0
LABG_000181	MQ	Lacticaseibacillus	Lacticaseibacillus paracasei	human	no	0	0	0
LABG_000182	MQ	Lacticaseibacillus	Lacticaseibacillus rhamnosus	human	no	0	0	0
LABG_000183	MQ	Lacticaseibacillus	Lacticaseibacillus rhamnosus	human	no	0	0	0
LABG_000184	MQ	Lacticaseibacillus	Lacticaseibacillus paracasei	human	no	0	0	0
LABG_000185	MQ	Limosilactobacillus	Limosilactobacillus oris	human	no	0	0	0
LABG_000186	MQ	Lacticaseibacillus	Lacticaseibacillus rhamnosus	human	no	0	0	0
LABG_000187	MQ	Lacticaseibacillus	Lacticaseibacillus rhamnosus	human	no	0	0	0
LABG_000188	MQ	Lacticaseibacillus	Lacticaseibacillus rhamnosus	human	no	0	0	0
LABG_000189	MQ	Lacticaseibacillus	Lacticaseibacillus rhamnosus	human	no	0	0	0
LABG_000190	MQ	Limosilactobacillus	Limosilactobacillus reuteri	human	no	0	0	0
LABG_000191	MQ	Lacticaseibacillus	Lacticaseibacillus paracasei	human	no	0	0	0
LABG_000192	MQ	Lacticaseibacillus	Lacticaseibacillus rhamnosus	human	no	0	0	0
LABG_000193	MQ	Lactiplantibacillus	Lactiplantibacillus plantarum	human	no	0	0	0
LABG_000194	MQ	Lentilactobacillus	Lentilactobacillus parabuchneri	human	no	0	0	0
LABG_000195	MQ	Lacticaseibacillus	Lacticaseibacillus rhamnosus	human	no	0	0	0
LABG_000196	MQ	Lacticaseibacillus	Lacticaseibacillus paracasei	human	no	0	0	0
LABG_000197	MQ	Lacticaseibacillus	Lacticaseibacillus paracasei	human	no	0	0	0
LABG_000198	MQ	Lactobacillus	Lactobacillus paragasseri	human	no	0	0	0
LABG_000199	MQ	Lactiplantibacillus	Lactiplantibacillus plantarum	human	no	0	0	0
LABG_000200	MQ	Lacticaseibacillus	Lacticaseibacillus rhamnosus	human	no	0	0	0
LABG_000201	MQ	Lacticaseibacillus	Lacticaseibacillus rhamnosus	human	no	0	0	0
LABG_000202	Rep99	Leuconostoc	Leuconostoc lactis	human	no	0	0	0
LABG_000203	MQ	Lacticaseibacillus	Lacticaseibacillus rhamnosus	human	no	0	0	0
LABG_000204	MQ	Lacticaseibacillus	Lacticaseibacillus rhamnosus	human	no	0	0	0
LABG_000205	MQ	Lacticaseibacillus	Lacticaseibacillus rhamnosus	human	no	0	0	0
LABG_000206	MQ	Lacticaseibacillus	Lacticaseibacillus rhamnosus	human	no	0	0	0
LABG_000207	MQ	Lacticaseibacillus	Lacticaseibacillus rhamnosus	human	no	0	0	0
LABG_000208	Rep99	Lacticaseibacillus	Lacticaseibacillus rhamnosus	human	no	0	0	0
LABG_000209	MQ	Lacticaseibacillus	Lacticaseibacillus rhamnosus	human	no	0	0	0
LABG_000210	MQ	Lacticaseibacillus	Lacticaseibacillus rhamnosus	human	no	0	0	0
LABG_000211	MQ	Weissella	Weissella confusa	human	no	0	0	0
LABG_000212	Rep99	Ligilactobacillus	Ligilactobacillus ruminis	human	no	0	0	0
LABG_000213	MQ	Lactobacillus	Lactobacillus acidophilus	other	no	0	0	0
LABG_000214	MQ	Lactobacillus	Lactobacillus helveticus	food	no	0	0	0
LABG_000215	MQ	Lactobacillus	Lactobacillus helveticus	food	no	0	0	0
LABG_000216	MQ	Lacticaseibacillus	Lacticaseibacillus paracasei	food	no	0	0	0
LABG_000217	MQ	Lactobacillus	Lactobacillus helveticus	food	no	0	0	0
LABG_000218	MQ	Lactobacillus	Lactobacillus helveticus	food	no	0	0	0
LABG_000219	MQ	Lactobacillus	Lactobacillus helveticus	food	no	0	0	0
LABG_000220	MQ	Lactobacillus	Lactobacillus helveticus	food	no	0	0	0
LABG_000221	MQ	Lactobacillus	Lactobacillus helveticus	food	no	0	0	0
LABG_000222	MQ	Lactobacillus	Lactobacillus helveticus	food	no	0	0	0
LABG_000223	MQ	Lactobacillus	Lactobacillus helveticus	food	no	0	0	0
LABG_000224	MQ	Lactobacillus	Lactobacillus helveticus	food	no	0	0	0
LABG_000225	MQ	Lactobacillus	Lactobacillus helveticus	food	no	0	0	0
LABG_000226	MQ	Lactobacillus	Lactobacillus helveticus	food	no	0	0	0
LABG_000227	MQ	Limosilactobacillus	Limosilactobacillus mucosae	human	no	0	0	0
LABG_000228	MQ	Ligilactobacillus		human	no	0	0	0
LABG_000229	Rep99	Ligilactobacillus		human	no	0	0	0
LABG_000230	MQ	Limosilactobacillus	Limosilactobacillus fermentum	human	no	0	0	0
LABG_000231	MQ	Lacticaseibacillus	Lacticaseibacillus rhamnosus	human	no	0	0	0
LABG_000232	MQ	Lacticaseibacillus	Lacticaseibacillus rhamnosus	human	no	0	0	0
LABG_000233	MQ	Lacticaseibacillus	Lacticaseibacillus rhamnosus	human	no	0	0	0
LABG_000234	MQ	Lacticaseibacillus	Lacticaseibacillus rhamnosus	human	no	0	0	0
LABG_000235	MQ	Lacticaseibacillus	Lacticaseibacillus rhamnosus	human	no	0	0	0
LABG_000236	MQ	Xylocopilactobacillus	Xylocopilactobacillus sp945285405	animal	no	0	0	0
LABG_000237	MQ	Bombilactobacillus	Bombilactobacillus mellifer	animal	no	0	0	0
LABG_000238	MQ	Xylocopilactobacillus	Xylocopilactobacillus sp945285405	animal	no	0	0	0
LABG_000239	MQ	Bombilactobacillus	Bombilactobacillus mellis_A	animal	no	0	0	0
LABG_000240	MQ	Xylocopilactobacillus	Xylocopilactobacillus sp945285405	animal	no	0	0	0
LABG_000241	MQ	Bombilactobacillus	Bombilactobacillus mellifer	animal	no	0	0	0
LABG_000242	MQ	Bombilactobacillus	Bombilactobacillus mellis_A	animal	no	0	0	0
LABG_000243	MQ	Xylocopilactobacillus	Xylocopilactobacillus sp945285405	animal	no	0	0	0
LABG_000244	Rep99	Lactobacillus	Lactobacillus panisapium	animal	no	0	0	0
LABG_000245	MQ	Bombilactobacillus	Bombilactobacillus mellis_A	animal	no	0	0	0
LABG_000246	MQ	Xylocopilactobacillus	Xylocopilactobacillus sp945285405	animal	no	0	0	0
LABG_000247	MQ	Xylocopilactobacillus	Xylocopilactobacillus sp945285405	animal	no	0	0	0
LABG_000248	MQ	Lactobacillus	Lactobacillus panisapium	animal	no	0	0	0
LABG_000249	MQ	Bombilactobacillus	Bombilactobacillus mellifer	animal	no	0	0	0
LABG_000250	MQ	Xylocopilactobacillus	Xylocopilactobacillus sp945285405	animal	no	0	0	0
LABG_000251	MQ	Bombilactobacillus	Bombilactobacillus mellifer	animal	no	0	0	0
LABG_000252	MQ	Bombilactobacillus	Bombilactobacillus mellis_A	animal	no	0	0	0
LABG_000253	MQ	Bombilactobacillus	Bombilactobacillus mellis_A	animal	no	0	0	0
LABG_000254	MQ	Xylocopilactobacillus	Xylocopilactobacillus sp945285405	animal	no	0	0	0
LABG_000255	MQ	Lactobacillus	Lactobacillus rizhaonensis	animal	no	0	0	0
LABG_000256	Rep99	Lactobacillus	Lactobacillus panisapium	animal	yes	1	1	1
LABG_000257	MQ	Bombilactobacillus	Bombilactobacillus mellis_A	animal	no	0	0	0
LABG_000258	MQ	Bombilactobacillus	Bombilactobacillus mellifer	animal	no	0	0	0
LABG_000259	MQ	Xylocopilactobacillus	Xylocopilactobacillus sp945285405	animal	no	0	0	0
LABG_000260	MQ	Bombilactobacillus	Bombilactobacillus mellis_A	animal	no	0	0	0
LABG_000261	Rep99	Lactobacillus	Lactobacillus panisapium	animal	no	0	0	0
LABG_000262	MQ	Xylocopilactobacillus	Xylocopilactobacillus sp945285405	animal	no	0	0	0
LABG_000263	Rep99	Lactobacillus	Lactobacillus panisapium	animal	no	0	0	0
LABG_000264	MQ	Xylocopilactobacillus	Xylocopilactobacillus sp945285405	animal	no	0	0	0
LABG_000265	Rep99	Xylocopilactobacillus	Xylocopilactobacillus sp945285405	animal	no	0	0	0
LABG_000266	Rep99	Xylocopilactobacillus	Xylocopilactobacillus sp945285405	animal	no	0	0	0
LABG_000267	MQ	Bombilactobacillus	Bombilactobacillus mellifer	animal	no	0	0	0
LABG_000268	MQ	Bombilactobacillus	Bombilactobacillus mellis_A	animal	no	0	0	0
LABG_000269	Rep99	Lactobacillus	Lactobacillus panisapium	animal	no	0	0	0
LABG_000270	MQ	Xylocopilactobacillus	Xylocopilactobacillus sp945285405	animal	no	0	0	0
LABG_000271	MQ	Xylocopilactobacillus	Xylocopilactobacillus sp945285405	animal	no	0	0	0
LABG_000272	Rep99	Lactobacillus	Lactobacillus panisapium	animal	no	0	0	0
LABG_000273	Rep99	Xylocopilactobacillus	Xylocopilactobacillus sp945285405	animal	no	0	0	0
LABG_000274	Rep99	Lactobacillus	Lactobacillus panisapium	animal	no	0	0	0
LABG_000275	MQ	Bombilactobacillus	Bombilactobacillus mellis_A	animal	no	0	0	0
LABG_000276	MQ	Xylocopilactobacillus	Xylocopilactobacillus sp945285405	animal	no	0	0	0
LABG_000277	Rep99	Bombilactobacillus	Bombilactobacillus mellifer	animal	no	0	0	0
LABG_000278	Rep99	Lactobacillus	Lactobacillus panisapium	animal	no	0	0	0
LABG_000279	MQ	Bombilactobacillus	Bombilactobacillus mellis_A	animal	no	0	0	0
LABG_000280	MQ	Ligilactobacillus	Ligilactobacillus animalis	animal	no	0	0	0
LABG_000281	MQ	Bombilactobacillus	Bombilactobacillus mellifer	animal	no	0	0	0
LABG_000282	MQ	Xylocopilactobacillus	Xylocopilactobacillus sp945285405	animal	no	0	0	0
LABG_000283	MQ	Bombilactobacillus	Bombilactobacillus mellis_A	animal	no	0	0	0
LABG_000284	MQ	Lactobacillus	Lactobacillus rizhaonensis	animal	no	0	0	0
LABG_000285	Rep99	Xylocopilactobacillus	Xylocopilactobacillus sp945285405	animal	no	0	0	0
LABG_000286	MQ	Bombilactobacillus	Bombilactobacillus mellis_A	animal	no	0	0	0
LABG_000287	MQ	Lactobacillus	Lactobacillus panisapium	animal	no	0	0	0
LABG_000288	MQ	Bombilactobacillus	Bombilactobacillus mellifer	animal	no	0	0	0
LABG_000289	MQ	Bombilactobacillus	Bombilactobacillus mellis_A	animal	no	0	0	0
LABG_000290	Rep99	Lactobacillus	Lactobacillus panisapium	animal	no	0	0	0
LABG_000291	MQ	Xylocopilactobacillus	Xylocopilactobacillus sp945285405	animal	no	0	0	0
LABG_000292	MQ	Bombilactobacillus	Bombilactobacillus mellis_A	animal	no	0	0	0
LABG_000293	MQ	Bombilactobacillus	Bombilactobacillus mellis_A	animal	no	0	0	0
LABG_000294	MQ	Xylocopilactobacillus	Xylocopilactobacillus sp945285405	animal	no	0	0	0
LABG_000295	MQ	Bombilactobacillus	Bombilactobacillus mellifer	animal	no	0	0	0
LABG_000296	MQ	Xylocopilactobacillus	Xylocopilactobacillus sp945285405	animal	no	0	0	0
LABG_000297	MQ	Lactobacillus	Lactobacillus panisapium	animal	no	0	0	0
LABG_000298	MQ	Bombilactobacillus	Bombilactobacillus mellis_A	animal	no	0	0	0
LABG_000299	MQ	Bombilactobacillus	Bombilactobacillus mellis_A	animal	no	0	0	0
LABG_000300	MQ	Xylocopilactobacillus	Xylocopilactobacillus sp945285405	animal	no	0	0	0
LABG_000301	MQ	Bombilactobacillus	Bombilactobacillus mellifer	animal	no	0	0	0
LABG_000302	MQ	Xylocopilactobacillus	Xylocopilactobacillus sp945285405	animal	no	0	0	0
LABG_000303	MQ	Lactobacillus	Lactobacillus panisapium	animal	no	0	0	0
LABG_000304	MQ	Xylocopilactobacillus	Xylocopilactobacillus sp945285405	animal	no	0	0	0
