ARG99_cluster_id	genome_id
repARGgff0000641	LABG_003396
repARGgff0000481	LABG_003396
repARGgff0000597	LABG_003396
repARGgff0000290	LABG_003396
repARGgff0000644	LABG_003396
repARGgff0000597	LABG_003399
repARGgff0000290	LABG_003399
repARGgff0000644	LABG_003399
repARGgff0000421	LABG_003402
repARGgff0000002	LABG_003402
repARGgff0000597	LABG_003402
repARGgff0000289	LABG_003402
repARGgff0000290	LABG_003402
repARGgff0000644	LABG_003402
repARGgff0000116	LABG_003502
repARGgff0001174	LABG_003502
repARGgff0001314	LABG_003502
repARGgff0000421	LABG_003503
repARGgff0001121	LABG_003503
repARGgff0001122	LABG_003503
repARGgff0000290	LABG_003503
repARGgff0000644	LABG_003503
repARGgff0001314	LABG_003503
repARGgff0001174	LABG_003504
repARGgff0001314	LABG_003504
repARGgff0001174	LABG_003505
repARGgff0001314	LABG_003505
repARGgff0000116	LABG_003508
repARGgff0001174	LABG_003508
repARGgff0001314	LABG_003508
repARGgff0001174	LABG_003509
repARGgff0001314	LABG_003509
repARGgff0000421	LABG_003510
repARGgff0001121	LABG_003510
repARGgff0001122	LABG_003510
repARGgff0000290	LABG_003510
repARGgff0000644	LABG_003510
repARGgff0001314	LABG_003510
repARGgff0001174	LABG_003512
repARGgff0000317	LABG_003543
repARGgff0001321	LABG_003607
repARGgff0000644	LABG_003607
repARGgff0001321	LABG_003610
repARGgff0000644	LABG_003610
repARGgff0000322	LABG_003614
repARGgff0001174	LABG_003662
repARGgff0000644	LABG_003788
repARGgff0001174	LABG_003871
repARGgff0001174	LABG_003887
repARGgff0001174	LABG_003979
repARGgff0000644	LABG_004045
repARGgff0001299	LABG_004052
repARGgff0000644	LABG_004071
repARGgff0000331	LABG_004077
repARGgff0001321	LABG_004104
repARGgff0000711	LABG_004104
repARGgff0001174	LABG_004104
repARGgff0001174	LABG_004126
repARGgff0001174	LABG_004296
repARGgff0000677	LABG_004350
repARGgff0000106	LABG_004350
repARGgff0001328	LABG_004350
repARGgff0000421	LABG_004367
repARGgff0000644	LABG_004367
repARGgff0001174	LABG_004408
repARGgff0000597	LABG_004478
repARGgff0001174	LABG_004478
repARGgff0001174	LABG_004538
repARGgff0001314	LABG_004538
repARGgff0000290	LABG_004644
repARGgff0000230	LABG_004644
repARGgff0001174	LABG_004709
repARGgff0001174	LABG_004710
repARGgff0000116	LABG_004769
repARGgff0001174	LABG_004769
repARGgff0001321	LABG_004779
repARGgff0001174	LABG_004779
repARGgff0001174	LABG_004871
repARGgff0001174	LABG_004872
repARGgff0001321	LABG_004905
repARGgff0000597	LABG_004905
repARGgff0001174	LABG_004905
repARGgff0001321	LABG_004906
repARGgff0000597	LABG_004906
repARGgff0001174	LABG_004906
repARGgff0000002	LABG_004910
repARGgff0000644	LABG_004910
repARGgff0000290	LABG_005064
repARGgff0000230	LABG_005064
repARGgff0000290	LABG_005085
repARGgff0000230	LABG_005085
repARGgff0000116	LABG_005094
repARGgff0000290	LABG_005094
repARGgff0000371	LABG_005094
repARGgff0000597	LABG_005163
repARGgff0000597	LABG_005163
repARGgff0001174	LABG_005163
repARGgff0000597	LABG_005164
repARGgff0000597	LABG_005164
repARGgff0001174	LABG_005164
repARGgff0001321	LABG_005238
repARGgff0000644	LABG_005238
repARGgff0000644	LABG_005239
repARGgff0000780	LABG_005240
repARGgff0001321	LABG_005241
repARGgff0000644	LABG_005241
repARGgff0001321	LABG_005270
repARGgff0000385	LABG_005270
repARGgff0000230	LABG_005296
repARGgff0000385	LABG_005297
repARGgff0000644	LABG_005298
repARGgff0000230	LABG_005302
repARGgff0001174	LABG_005314
repARGgff0000116	LABG_005318
repARGgff0001174	LABG_005318
repARGgff0001174	LABG_005320
repARGgff0000418	LABG_005424
repARGgff0000395	LABG_005424
repARGgff0001321	LABG_005433
repARGgff0001154	LABG_005433
repARGgff0000421	LABG_005446
repARGgff0001409	LABG_005446
repARGgff0000597	LABG_005446
repARGgff0000290	LABG_005446
repARGgff0000402	LABG_005446
repARGgff0001409	LABG_005466
repARGgff0000002	LABG_005466
repARGgff0001321	LABG_005466
repARGgff0001321	LABG_005466
repARGgff0001393	LABG_005466
repARGgff0001174	LABG_005466
repARGgff0001217	LABG_005466
repARGgff0001321	LABG_005477
repARGgff0000116	LABG_005477
repARGgff0001154	LABG_005477
repARGgff0001174	LABG_005477
repARGgff0000183	LABG_005488
repARGgff0000644	LABG_005496
repARGgff0000644	LABG_005523
repARGgff0001321	LABG_005563
repARGgff0000418	LABG_005563
repARGgff0000711	LABG_005563
repARGgff0000420	LABG_005564
repARGgff0000421	LABG_005564
repARGgff0000641	LABG_005564
repARGgff0000642	LABG_005564
repARGgff0000290	LABG_005564
repARGgff0000230	LABG_005564
repARGgff0000426	LABG_005570
repARGgff0000597	LABG_005570
repARGgff0001321	LABG_005741
repARGgff0001174	LABG_005741
repARGgff0001174	LABG_005743
repARGgff0001090	LABG_005755
repARGgff0000116	LABG_005756
repARGgff0000230	LABG_005824
repARGgff0000116	LABG_005825
repARGgff0000290	LABG_005825
repARGgff0000230	LABG_005825
repARGgff0001174	LABG_005826
repARGgff0000116	LABG_005827
repARGgff0001174	LABG_005827
repARGgff0000116	LABG_005828
repARGgff0000290	LABG_005828
repARGgff0000230	LABG_005828
repARGgff0000644	LABG_005847
repARGgff0000289	LABG_005861
repARGgff0001174	LABG_005883
repARGgff0000644	LABG_005971
repARGgff0001345	LABG_006272
repARGgff0001174	LABG_006272
repARGgff0001174	LABG_006273
repARGgff0001321	LABG_006418
repARGgff0001174	LABG_006418
repARGgff0000597	LABG_006486
repARGgff0001217	LABG_006494
repARGgff0000116	LABG_006495
repARGgff0000597	LABG_006496
repARGgff0001314	LABG_006496
repARGgff0000597	LABG_006497
repARGgff0001174	LABG_006498
repARGgff0001314	LABG_006498
repARGgff0000597	LABG_006499
repARGgff0000290	LABG_006499
repARGgff0000230	LABG_006499
repARGgff0001314	LABG_006499
repARGgff0001409	LABG_006566
repARGgff0000116	LABG_006566
repARGgff0000116	LABG_006566
repARGgff0000385	LABG_006566
repARGgff0000644	LABG_006641
repARGgff0001174	LABG_006678
repARGgff0001174	LABG_006727
repARGgff0001174	LABG_006727
repARGgff0001174	LABG_006727
repARGgff0001174	LABG_006727
repARGgff0001174	LABG_006737
repARGgff0001174	LABG_006762
repARGgff0001174	LABG_006764
repARGgff0001174	LABG_006876
repARGgff0000420	LABG_006897
repARGgff0000421	LABG_006897
repARGgff0000922	LABG_006897
repARGgff0000481	LABG_006897
repARGgff0000481	LABG_006897
repARGgff0000483	LABG_006897
repARGgff0000483	LABG_006897
repARGgff0000290	LABG_006897
repARGgff0000230	LABG_006897
repARGgff0001217	LABG_006897
repARGgff0000116	LABG_006922
repARGgff0000489	LABG_006922
repARGgff0000490	LABG_006922
repARGgff0001321	LABG_006938
repARGgff0000644	LABG_006938
repARGgff0000421	LABG_006939
repARGgff0000230	LABG_006939
repARGgff0001174	LABG_006960
repARGgff0000780	LABG_007220
repARGgff0000644	LABG_007224
repARGgff0000644	LABG_007225
repARGgff0000780	LABG_007241
repARGgff0001174	LABG_007360
repARGgff0001345	LABG_007485
repARGgff0000834	LABG_007494
repARGgff0000780	LABG_007494
repARGgff0000644	LABG_007530
repARGgff0000507	LABG_007555
repARGgff0000780	LABG_007555
repARGgff0000507	LABG_007576
repARGgff0000644	LABG_007600
repARGgff0001346	LABG_007623
repARGgff0001089	LABG_007630
repARGgff0001090	LABG_007630
repARGgff0000677	LABG_007632
repARGgff0000644	LABG_007653
repARGgff0000644	LABG_007716
repARGgff0001174	LABG_007717
repARGgff0000002	LABG_007722
repARGgff0001174	LABG_007722
repARGgff0001321	LABG_007725
repARGgff0000597	LABG_007725
repARGgff0000597	LABG_007725
repARGgff0000597	LABG_007725
repARGgff0000597	LABG_007725
repARGgff0000597	LABG_007725
repARGgff0000597	LABG_007725
repARGgff0000597	LABG_007725
repARGgff0000526	LABG_007725
repARGgff0000922	LABG_007726
repARGgff0000290	LABG_007726
repARGgff0000529	LABG_007726
repARGgff0000481	LABG_007837
repARGgff0000116	LABG_007837
repARGgff0000483	LABG_007837
repARGgff0000290	LABG_007837
repARGgff0000230	LABG_007837
repARGgff0000195	LABG_007875
repARGgff0001321	LABG_007900
repARGgff0000644	LABG_007900
repARGgff0001409	LABG_007917
repARGgff0000116	LABG_007917
repARGgff0000290	LABG_007917
repARGgff0000230	LABG_007917
repARGgff0000922	LABG_007922
repARGgff0000481	LABG_007922
repARGgff0000385	LABG_007922
repARGgff0000545	LABG_007946
repARGgff0001174	LABG_008317
repARGgff0001174	LABG_008318
repARGgff0001174	LABG_008379
repARGgff0001174	LABG_008380
repARGgff0000644	LABG_008383
repARGgff0000551	LABG_008384
repARGgff0000644	LABG_008387
repARGgff0000644	LABG_008392
repARGgff0000780	LABG_008402
repARGgff0000780	LABG_008403
repARGgff0000780	LABG_008406
repARGgff0000561	LABG_008410
repARGgff0000644	LABG_008413
repARGgff0000780	LABG_008415
repARGgff0000644	LABG_008417
repARGgff0000561	LABG_008431
repARGgff0000644	LABG_008437
repARGgff0000780	LABG_008452
repARGgff0000641	LABG_008468
repARGgff0000597	LABG_008468
repARGgff0000597	LABG_008468
repARGgff0000481	LABG_008472
repARGgff0001174	LABG_008472
repARGgff0001174	LABG_008480
repARGgff0000116	LABG_008488
repARGgff0001174	LABG_008488
repARGgff0000969	LABG_008503
repARGgff0000116	LABG_008630
repARGgff0000290	LABG_008630
repARGgff0000116	LABG_008631
repARGgff0001174	LABG_008631
repARGgff0001321	LABG_009012
repARGgff0000578	LABG_009017
repARGgff0000644	LABG_009017
repARGgff0001174	LABG_009017
repARGgff0001174	LABG_009018
repARGgff0001321	LABG_009023
repARGgff0000780	LABG_009023
repARGgff0001321	LABG_009029
repARGgff0001321	LABG_009034
repARGgff0000780	LABG_009034
repARGgff0001174	LABG_009064
repARGgff0001321	LABG_009078
repARGgff0001174	LABG_009078
repARGgff0001321	LABG_009093
repARGgff0000780	LABG_009095
repARGgff0000578	LABG_009099
repARGgff0001174	LABG_009099
repARGgff0001281	LABG_009102
repARGgff0001321	LABG_009102
repARGgff0001282	LABG_009102
repARGgff0000597	LABG_009117
repARGgff0001174	LABG_009117
repARGgff0001321	LABG_009124
repARGgff0001174	LABG_009124
repARGgff0000002	LABG_009125
repARGgff0001174	LABG_009125
repARGgff0001321	LABG_009130
repARGgff0001174	LABG_009130
repARGgff0001217	LABG_009130
repARGgff0001321	LABG_009139
repARGgff0000607	LABG_009139
repARGgff0000597	LABG_009148
repARGgff0001321	LABG_009190
repARGgff0001174	LABG_009190
repARGgff0001321	LABG_009193
repARGgff0001174	LABG_009193
repARGgff0001174	LABG_009194
repARGgff0001321	LABG_009261
repARGgff0000481	LABG_009261
repARGgff0000483	LABG_009261
repARGgff0000644	LABG_009261
repARGgff0001174	LABG_009284
repARGgff0000420	LABG_009502
repARGgff0001393	LABG_009502
repARGgff0001393	LABG_009503
repARGgff0001174	LABG_009507
repARGgff0000290	LABG_009523
repARGgff0000385	LABG_009523
repARGgff0001393	LABG_009605
repARGgff0000290	LABG_009634
repARGgff0001210	LABG_009635
repARGgff0000230	LABG_009635
repARGgff0000489	LABG_009658
repARGgff0000490	LABG_009658
repARGgff0001174	LABG_009660
repARGgff0000418	LABG_009662
repARGgff0000481	LABG_009662
repARGgff0000483	LABG_009662
repARGgff0001174	LABG_009662
repARGgff0001174	LABG_009749
repARGgff0000644	LABG_009772
repARGgff0001174	LABG_009772
repARGgff0001321	LABG_009782
repARGgff0001217	LABG_009782
repARGgff0000641	LABG_009814
repARGgff0000642	LABG_009814
repARGgff0001321	LABG_009815
repARGgff0000644	LABG_009815
repARGgff0001321	LABG_009838
repARGgff0000644	LABG_009838
repARGgff0000644	LABG_009878
repARGgff0001174	LABG_010081
repARGgff0000116	LABG_010108
repARGgff0000195	LABG_010108
repARGgff0001321	LABG_010113
repARGgff0000116	LABG_010113
repARGgff0000290	LABG_010113
repARGgff0000597	LABG_010114
repARGgff0000655	LABG_010117
repARGgff0001393	LABG_010117
repARGgff0000481	LABG_010117
repARGgff0000483	LABG_010117
repARGgff0000106	LABG_010117
repARGgff0001174	LABG_010117
repARGgff0000420	LABG_010206
repARGgff0001321	LABG_010404
repARGgff0000711	LABG_010404
repARGgff0001174	LABG_010432
repARGgff0000420	LABG_010493
repARGgff0000421	LABG_010493
repARGgff0000481	LABG_010493
repARGgff0000483	LABG_010493
repARGgff0001127	LABG_010493
repARGgff0001128	LABG_010493
repARGgff0001321	LABG_010505
repARGgff0001321	LABG_010525
repARGgff0000644	LABG_010525
repARGgff0001321	LABG_010529
repARGgff0000644	LABG_010529
repARGgff0001174	LABG_010535
repARGgff0000677	LABG_010576
repARGgff0000678	LABG_010576
repARGgff0001321	LABG_010628
repARGgff0000644	LABG_010628
repARGgff0000116	LABG_010656
repARGgff0000116	LABG_010656
repARGgff0000290	LABG_010658
repARGgff0000230	LABG_010658
repARGgff0000289	LABG_010678
repARGgff0000644	LABG_010690
repARGgff0000687	LABG_010695
repARGgff0001174	LABG_010857
repARGgff0000289	LABG_010925
repARGgff0000690	LABG_010966
repARGgff0000691	LABG_010966
repARGgff0001299	LABG_011170
repARGgff0001174	LABG_011216
repARGgff0000780	LABG_011287
repARGgff0001321	LABG_011324
repARGgff0000644	LABG_011368
repARGgff0000780	LABG_011372
repARGgff0000644	LABG_011373
repARGgff0000780	LABG_011377
repARGgff0000780	LABG_011378
repARGgff0001321	LABG_011430
repARGgff0000644	LABG_011430
repARGgff0000230	LABG_011550
repARGgff0001174	LABG_011570
repARGgff0000644	LABG_011747
repARGgff0000644	LABG_011760
repARGgff0000116	LABG_011781
repARGgff0000195	LABG_011781
repARGgff0001321	LABG_011790
repARGgff0000597	LABG_011790
repARGgff0000711	LABG_011790
repARGgff0001321	LABG_011791
repARGgff0000711	LABG_011791
repARGgff0000714	LABG_011793
repARGgff0000597	LABG_011793
repARGgff0000230	LABG_011793
repARGgff0000644	LABG_011805
repARGgff0000644	LABG_011806
repARGgff0000780	LABG_011808
repARGgff0001282	LABG_011919
repARGgff0000721	LABG_011922
repARGgff0001321	LABG_011922
repARGgff0000723	LABG_011929
repARGgff0000420	LABG_011933
repARGgff0000421	LABG_011933
repARGgff0001321	LABG_011933
repARGgff0001121	LABG_011933
repARGgff0001122	LABG_011933
repARGgff0000230	LABG_011933
repARGgff0000116	LABG_012067
repARGgff0000644	LABG_012072
repARGgff0001321	LABG_012077
repARGgff0001393	LABG_012077
repARGgff0000116	LABG_012077
repARGgff0001321	LABG_012099
repARGgff0001321	LABG_012099
repARGgff0001174	LABG_012099
repARGgff0000116	LABG_012100
repARGgff0000116	LABG_012100
repARGgff0001174	LABG_012100
repARGgff0000317	LABG_012129
repARGgff0000195	LABG_012134
repARGgff0000035	LABG_012169
repARGgff0000420	LABG_012318
repARGgff0001174	LABG_012318
repARGgff0001321	LABG_012589
repARGgff0000597	LABG_012589
repARGgff0001174	LABG_012589
repARGgff0001174	LABG_012688
repARGgff0001346	LABG_012723
repARGgff0000597	LABG_012735
repARGgff0001321	LABG_012759
repARGgff0000597	LABG_012759
repARGgff0000290	LABG_012759
repARGgff0000755	LABG_012811
repARGgff0000597	LABG_012817
repARGgff0000597	LABG_012961
repARGgff0001299	LABG_012961
repARGgff0000597	LABG_012963
repARGgff0000597	LABG_012965
repARGgff0000761	LABG_012965
repARGgff0000597	LABG_012969
repARGgff0000763	LABG_012969
repARGgff0001314	LABG_012969
repARGgff0000597	LABG_012972
repARGgff0001174	LABG_012972
repARGgff0000116	LABG_012977
repARGgff0000597	LABG_012983
repARGgff0001321	LABG_012984
repARGgff0000597	LABG_012984
repARGgff0000116	LABG_012985
repARGgff0000290	LABG_013047
repARGgff0000230	LABG_013047
repARGgff0000644	LABG_013053
repARGgff0000116	LABG_013063
repARGgff0001174	LABG_013067
repARGgff0001321	LABG_013088
repARGgff0000116	LABG_013088
repARGgff0000644	LABG_013088
repARGgff0000780	LABG_013091
repARGgff0001321	LABG_013095
repARGgff0000780	LABG_013095
repARGgff0001314	LABG_013125
repARGgff0001314	LABG_013229
repARGgff0001314	LABG_013248
repARGgff0000780	LABG_013258
repARGgff0000834	LABG_013271
repARGgff0001393	LABG_013271
repARGgff0000481	LABG_013271
repARGgff0000483	LABG_013271
repARGgff0001174	LABG_013271
repARGgff0001217	LABG_013271
repARGgff0000421	LABG_013272
repARGgff0000481	LABG_013272
repARGgff0000644	LABG_013272
repARGgff0000421	LABG_013273
repARGgff0000834	LABG_013273
repARGgff0001321	LABG_013273
repARGgff0000418	LABG_013273
repARGgff0000481	LABG_013273
repARGgff0000483	LABG_013273
repARGgff0000644	LABG_013273
repARGgff0000420	LABG_013274
repARGgff0001321	LABG_013274
repARGgff0001393	LABG_013274
repARGgff0000116	LABG_013274
repARGgff0001174	LABG_013274
repARGgff0001345	LABG_013275
repARGgff0000644	LABG_013275
repARGgff0001321	LABG_013276
repARGgff0001174	LABG_013276
repARGgff0000420	LABG_013277
repARGgff0001160	LABG_013277
repARGgff0001393	LABG_013277
repARGgff0000481	LABG_013277
repARGgff0000483	LABG_013277
repARGgff0000290	LABG_013277
repARGgff0000230	LABG_013277
repARGgff0000420	LABG_013278
repARGgff0001160	LABG_013278
repARGgff0001393	LABG_013278
repARGgff0000481	LABG_013278
repARGgff0000483	LABG_013278
repARGgff0000290	LABG_013278
repARGgff0000644	LABG_013278
repARGgff0000420	LABG_013279
repARGgff0001160	LABG_013279
repARGgff0000421	LABG_013279
repARGgff0001393	LABG_013279
repARGgff0000481	LABG_013279
repARGgff0000483	LABG_013279
repARGgff0000290	LABG_013279
repARGgff0000230	LABG_013279
repARGgff0000834	LABG_013281
repARGgff0001393	LABG_013281
repARGgff0000290	LABG_013281
repARGgff0000644	LABG_013281
repARGgff0001174	LABG_013281
repARGgff0001321	LABG_013283
repARGgff0000481	LABG_013283
repARGgff0000483	LABG_013283
repARGgff0001174	LABG_013283
repARGgff0001217	LABG_013283
repARGgff0000420	LABG_013284
repARGgff0001160	LABG_013284
repARGgff0000421	LABG_013284
repARGgff0001393	LABG_013284
repARGgff0000481	LABG_013284
repARGgff0000483	LABG_013284
repARGgff0000290	LABG_013284
repARGgff0000230	LABG_013284
repARGgff0001321	LABG_013286
repARGgff0000481	LABG_013286
repARGgff0001174	LABG_013286
repARGgff0000421	LABG_013287
repARGgff0000834	LABG_013287
repARGgff0000418	LABG_013287
repARGgff0000481	LABG_013287
repARGgff0000644	LABG_013287
repARGgff0001409	LABG_013289
repARGgff0001321	LABG_013289
repARGgff0001154	LABG_013289
repARGgff0000290	LABG_013289
repARGgff0001174	LABG_013289
repARGgff0000420	LABG_013290
repARGgff0000418	LABG_013290
repARGgff0001174	LABG_013290
repARGgff0001217	LABG_013290
repARGgff0001160	LABG_013291
repARGgff0001393	LABG_013291
repARGgff0000483	LABG_013291
repARGgff0000290	LABG_013291
repARGgff0000230	LABG_013291
