ARG_hit_id	genome_id	genome_set	ARG_gene	ARG_class	best_hit_MGE_id	best_hit_MGE_category	best_hit
ARGH_000057	LABG_000415	MQ	lnuA	MLS			no
ARGH_000058	LABG_000416	MQ	fexB	phenicol			no
ARGH_000059	LABG_000416	MQ	poxtA	multidrug			no
ARGH_000060	LABG_000417	Rep99	fexB	phenicol			no
ARGH_000061	LABG_000418	MQ	tet(B)	tetracycline			no
ARGH_000062	LABG_000418	MQ	tetR	tetracycline			no
ARGH_000063	LABG_000419	MQ	aadS	aminoglycoside			no
ARGH_000064	LABG_000419	MQ	EreD	MLS			no
ARGH_000065	LABG_000419	MQ	tet(X)	tetracycline			no
ARGH_000066	LABG_000419	MQ	vatE	MLS			no
ARGH_000067	LABG_000420	MQ	ANT(6)-Ia	aminoglycoside			no
ARGH_000068	LABG_000420	MQ	vatE	MLS			no
ARGH_000069	LABG_000421	MQ	catA8	phenicol			no
ARGH_000070	LABG_000423	Rep99	fexA	phenicol			no
ARGH_000071	LABG_000423	Rep99	vatE	MLS			no
ARGH_000072	LABG_000424	MQ	Escherichia coli emrE	MLS			no
ARGH_000073	LABG_000425	MQ	fexA	phenicol			no
ARGH_000074	LABG_000425	MQ	SAT-4	aminoglycoside			no
ARGH_000075	LABG_000425	MQ	tet(B)	tetracycline	1484_tnpA10_HQ840942.1	IS_or_transposase	yes
ARGH_000076	LABG_000425	MQ	tetR	tetracycline	1484_tnpA10_HQ840942.1	IS_or_transposase	yes
ARGH_000077	LABG_000426	MQ	fexA	phenicol			no
ARGH_000078	LABG_000427	MQ	fexA	phenicol			no
ARGH_000079	LABG_000428	MQ	lnuA	MLS			no
ARGH_000080	LABG_000429	MQ	aad(6)	aminoglycoside			no
ARGH_000081	LABG_000429	MQ	APH(3')-IIIa	aminoglycoside			no
ARGH_000082	LABG_000429	MQ	CfxA2	beta-lactam			no
ARGH_000083	LABG_000429	MQ	ErmB	MLS			no
ARGH_000084	LABG_000429	MQ	SAT-4	aminoglycoside			no
ARGH_000085	LABG_000429	MQ	tet(X)	tetracycline			no
ARGH_000086	LABG_000430	MQ	APH(2'')-IIIa	aminoglycoside			no
ARGH_000087	LABG_000430	MQ	tet(O)	tetracycline			no
ARGH_000088	LABG_000431	MQ	cmx	phenicol			no
ARGH_000089	LABG_000431	MQ	ErmF	MLS			no
ARGH_000090	LABG_000431	MQ	ErmG	MLS			no
ARGH_000091	LABG_000431	MQ	lnuA	MLS			no
ARGH_000092	LABG_000431	MQ	lnuC	MLS			no
ARGH_000093	LABG_000431	MQ	poxtA	multidrug			no
ARGH_000094	LABG_000431	MQ	SAT-4	aminoglycoside			no
ARGH_000095	LABG_000432	MQ	fexB	phenicol			no
ARGH_000096	LABG_000433	MQ	dfrG	trimethoprim			no
ARGH_000097	LABG_000435	MQ	tet(X)	tetracycline			no
ARGH_000098	LABG_000436	MQ	tet(X)	tetracycline			no
ARGH_000099	LABG_000437	Rep99	fexB	phenicol			no
ARGH_000100	LABG_000437	Rep99	lnuA	MLS			no
ARGH_000101	LABG_000444	MQ	sul2	sulfonamide			no
ARGH_000102	LABG_000445	MQ	fexB	phenicol			no
ARGH_000103	LABG_000446	Rep99	dfrG	trimethoprim			no
ARGH_000104	LABG_000447	Rep99	mef(F)	MLS	2047_IS91_CP005958.1	IS	yes
ARGH_000105	LABG_000447	Rep99	msr(G)	MLS	2047_IS91_CP005958.1	IS	yes
ARGH_000106	LABG_000448	MQ	tet(L)	tetracycline			no
ARGH_000107	LABG_000449	MQ	dfrG	trimethoprim			no
ARGH_000108	LABG_000450	MQ	fexA	phenicol			no
ARGH_000109	LABG_000451	MQ	fexB	phenicol			no
ARGH_000110	LABG_000451	MQ	lnuB	MLS			no
ARGH_000111	LABG_000451	MQ	lsaE	multidrug			no
ARGH_000112	LABG_000452	MQ	lnuA	MLS			no
ARGH_000113	LABG_000453	MQ	dfrG	trimethoprim			no
ARGH_000114	LABG_000454	MQ	dfrA20	trimethoprim			no
ARGH_000115	LABG_000455	MQ	fexB	phenicol			no
ARGH_000116	LABG_000456	MQ	lnuA	MLS			no
ARGH_000117	LABG_000456	MQ	tet(X)	tetracycline			no
ARGH_000118	LABG_000457	MQ	vatE	MLS			no
ARGH_000119	LABG_000458	MQ	ErmA	MLS			no
ARGH_000120	LABG_000462	MQ	ErmC	MLS	1535_Tn916-orf20_KC414929	Tn916	yes
ARGH_000121	LABG_000464	MQ	vatE	MLS			no
ARGH_000122	LABG_000468	MQ	dfrG	trimethoprim			no
ARGH_000123	LABG_000469	MQ	ErmC	MLS	1535_Tn916-orf20_KC414929	Tn916	yes
ARGH_000124	LABG_000470	MQ	vatE	MLS			no
ARGH_000125	LABG_000471	MQ	fexB	phenicol			no
ARGH_000126	LABG_000472	MQ	lnuA	MLS			no
ARGH_000127	LABG_000474	Rep99	dfrG	trimethoprim			no
ARGH_000128	LABG_000477	MQ	cfrA	multidrug	2756_tnpA_KX810026.1	IS_or_transposase	yes
ARGH_000129	LABG_000478	Rep99	fexB	phenicol			no
ARGH_000130	LABG_000479	MQ	ErmG	MLS			no
ARGH_000131	LABG_000479	MQ	poxtA	multidrug			no
ARGH_000132	LABG_000479	MQ	vatE	MLS			no
ARGH_000133	LABG_000480	MQ	tet(X4)	tetracycline			no
ARGH_000134	LABG_000483	Rep99	fexA	phenicol			no
ARGH_000135	LABG_000484	MQ	dfrG	trimethoprim			no
ARGH_000136	LABG_000485	MQ	fexB	phenicol			no
ARGH_000137	LABG_000486	Rep99	fexA	phenicol			no
ARGH_000138	LABG_000488	Rep99	tet(B)	tetracycline			no
ARGH_000139	LABG_000488	Rep99	tetR	tetracycline			no
ARGH_000140	LABG_000489	Rep99	fexB	phenicol			no
ARGH_000141	LABG_000490	MQ	fexA	phenicol			no
ARGH_000142	LABG_000490	MQ	tet(32)	tetracycline			no
ARGH_000143	LABG_000491	Rep99	fexB	phenicol			no
ARGH_000144	LABG_000492	Rep99	dfrG	trimethoprim			no
ARGH_000145	LABG_000493	MQ	fexA	phenicol			no
ARGH_000146	LABG_000494	MQ	lnuA	MLS			no
ARGH_000147	LABG_000495	MQ	fexB	phenicol			no
ARGH_000148	LABG_000496	MQ	fexB	phenicol			no
ARGH_000149	LABG_000497	Rep99	fexB	phenicol			no
ARGH_000150	LABG_000498	Rep99	fexB	phenicol			no
ARGH_000151	LABG_000499	MQ	fexA	phenicol			no
ARGH_000152	LABG_000502	MQ	fexB	phenicol			no
ARGH_000153	LABG_000504	MQ	fexB	phenicol			no
ARGH_000154	LABG_000505	MQ	fexA	phenicol			no
ARGH_000155	LABG_000506	MQ	fexA	phenicol			no
ARGH_000156	LABG_000508	Rep99	fexB	phenicol			no
ARGH_000157	LABG_000509	MQ	fexB	phenicol			no
ARGH_000158	LABG_000510	Rep99	fexB	phenicol			no
ARGH_000159	LABG_000513	MQ	dfrG	trimethoprim			no
ARGH_000160	LABG_000514	MQ	fexB	phenicol			no
ARGH_000161	LABG_000515	MQ	fexA	phenicol			no
ARGH_000162	LABG_000517	MQ	dfrG	trimethoprim			no
ARGH_000163	LABG_000518	MQ	ANT(9)-Ia	aminoglycoside	292_tnpA_FKRS01000031.1	IS_or_transposase	yes
ARGH_000164	LABG_000518	MQ	lnuC	MLS			no
ARGH_000165	LABG_000520	MQ	vatE	MLS			no
ARGH_000166	LABG_000521	MQ	fexA	phenicol			no
ARGH_000167	LABG_000523	MQ	Streptococcus suis chloramphenicol acetyltransferase	phenicol			no
ARGH_000168	LABG_000524	MQ	vatE	MLS			no
ARGH_000169	LABG_000525	MQ	APH(3')-Ia	aminoglycoside			no
ARGH_000170	LABG_000525	MQ	ErmG	MLS			no
ARGH_000171	LABG_000525	MQ	lnuA	MLS			no
ARGH_000172	LABG_000525	MQ	lnuB	MLS			no
ARGH_000173	LABG_000525	MQ	lnuC	MLS			no
ARGH_000174	LABG_000525	MQ	lnuC	MLS			no
ARGH_000175	LABG_000525	MQ	lsaE	multidrug			no
ARGH_000176	LABG_000525	MQ	mef(B)	MLS			no
ARGH_000177	LABG_000525	MQ	ROB-1	beta-lactam			no
ARGH_000178	LABG_000525	MQ	tet(B)	tetracycline			no
ARGH_000179	LABG_000525	MQ	tet(L)	tetracycline			no
ARGH_000180	LABG_000525	MQ	tetR	tetracycline			no
ARGH_000181	LABG_000528	MQ	ErmA	MLS			no
ARGH_000182	LABG_000529	Rep99	ErmT	MLS			no
ARGH_000183	LABG_000530	Rep99	ErmT	MLS			no
ARGH_000184	LABG_000850	MQ	tet(M)	tetracycline			no
ARGH_000185	LABG_000960	Rep99	ErmB	MLS			no
ARGH_000186	LABG_000961	MQ	ErmB	MLS			no
ARGH_000187	LABG_000961	MQ	ErmF	MLS			no
ARGH_000188	LABG_000961	MQ	tet(X)	tetracycline			no
ARGH_000189	LABG_000962	MQ	CfxA6	beta-lactam			no
ARGH_000190	LABG_000962	MQ	ErmB	MLS			no
ARGH_000191	LABG_000962	MQ	tet(O)	tetracycline			no
ARGH_000192	LABG_000963	MQ	ErmF	MLS			no
ARGH_000193	LABG_000963	MQ	Mef(En2)	MLS			no
ARGH_000194	LABG_000963	MQ	tet(X)	tetracycline			no
ARGH_000195	LABG_000964	MQ	vatE	MLS			no
ARGH_000196	LABG_000965	MQ	vatE	MLS			no
ARGH_000197	LABG_000966	Rep99	vatE	MLS			no
ARGH_000198	LABG_000967	MQ	ErmF	MLS			no
ARGH_000199	LABG_000967	MQ	tet(X)	tetracycline			no
ARGH_000200	LABG_000968	MQ	ErmF	MLS			no
ARGH_000201	LABG_000968	MQ	tet(X)	tetracycline			no
ARGH_000202	LABG_000969	MQ	ErmB	MLS			no
ARGH_000203	LABG_000970	Rep99	tet(L)	tetracycline			no
ARGH_000204	LABG_000972	Rep99	ErmB	MLS			no
ARGH_000205	LABG_000973	MQ	CfxA6	beta-lactam			no
ARGH_000206	LABG_000973	MQ	ErmG	MLS			no
ARGH_000207	LABG_000974	MQ	ErmF	MLS			no
ARGH_000208	LABG_000975	MQ	ErmA	MLS			no
ARGH_000209	LABG_000976	Rep99	ErmA	MLS			no
ARGH_000210	LABG_000977	MQ	ErmA	MLS			no
ARGH_000211	LABG_000978	MQ	ErmA	MLS			no
ARGH_000212	LABG_000979	MQ	ErmA	MLS			no
ARGH_000213	LABG_000980	MQ	ErmA	MLS			no
ARGH_000214	LABG_000983	MQ	vatE	MLS			no
ARGH_000215	LABG_000984	MQ	CfxA6	beta-lactam			no
ARGH_000216	LABG_000984	MQ	tet(W)	tetracycline			no
ARGH_000217	LABG_000985	MQ	lnuC	MLS			no
ARGH_000218	LABG_000989	MQ	ErmB	MLS			no
ARGH_000219	LABG_000990	Rep99	dfrK	trimethoprim			no
ARGH_000220	LABG_000995	MQ	Streptococcus suis chloramphenicol acetyltransferase	phenicol			no
ARGH_000221	LABG_000996	MQ	dfrA1	trimethoprim	542_intI1_DQ647028.2	integron	yes
ARGH_000222	LABG_000998	MQ	vatE	MLS			no
ARGH_000223	LABG_000999	Rep99	ErmF	MLS			no
ARGH_000224	LABG_001000	Rep99	ErmB	MLS			no
ARGH_000225	LABG_001000	Rep99	Mef(En2)	MLS			no
ARGH_000226	LABG_001001	Rep99	tet(44)	tetracycline			no
ARGH_000227	LABG_001002	MQ	vatE	MLS			no
ARGH_000228	LABG_001003	Rep99	tet(B)	tetracycline			no
ARGH_000229	LABG_001003	Rep99	tetR	tetracycline			no
ARGH_000230	LABG_001005	Rep99	lnuC	MLS			no
ARGH_000231	LABG_001006	Rep99	ANT(9)-Ia	aminoglycoside			no
ARGH_000232	LABG_001007	Rep99	ErmG	MLS			no
ARGH_000233	LABG_001008	MQ	dfrD	trimethoprim	134_repUS12__rep(pUB110)_AF181950	plasmid_related	yes
ARGH_000234	LABG_001008	MQ	dfrK	trimethoprim	134_repUS12__rep(pUB110)_AF181950	plasmid_related	yes
ARGH_000235	LABG_001008	MQ	Streptococcus suis chloramphenicol acetyltransferase	phenicol			no
ARGH_000236	LABG_001008	MQ	tet(L)	tetracycline	134_repUS12__rep(pUB110)_AF181950	plasmid_related	yes
ARGH_000237	LABG_001009	MQ	ErmB	MLS			no
ARGH_000238	LABG_001010	Rep99	ANT(4')-Ia	aminoglycoside	134_repUS12__rep(pUB110)_AF181950	plasmid_related	yes
ARGH_000239	LABG_001010	Rep99	dfrK	trimethoprim	134_repUS12__rep(pUB110)_AF181950	plasmid_related	yes
ARGH_000240	LABG_001010	Rep99	tet(L)	tetracycline	134_repUS12__rep(pUB110)_AF181950	plasmid_related	yes
ARGH_000241	LABG_001015	Rep99	vatE	MLS			no
ARGH_000242	LABG_001016	Rep99	vatE	MLS			no
ARGH_000243	LABG_001017	MQ	ErmT	MLS			no
ARGH_000244	LABG_001017	MQ	lnuB	MLS			no
ARGH_000245	LABG_001017	MQ	lsaE	multidrug			no
ARGH_000246	LABG_001018	MQ	ACI-1	beta-lactam			no
ARGH_000247	LABG_001020	Rep99	ANT(9)-Ia	aminoglycoside			no
ARGH_000248	LABG_001021	Rep99	Erm(52)	MLS			no
ARGH_000249	LABG_001021	Rep99	ErmG	MLS			no
ARGH_000250	LABG_001021	Rep99	tet(44)	tetracycline			no
ARGH_000251	LABG_001022	MQ	ErmB	MLS			no
ARGH_000252	LABG_001023	Rep99	tet(L)	tetracycline			no
ARGH_000253	LABG_001023	Rep99	tet(O)	tetracycline			no
ARGH_000254	LABG_001023	Rep99	ugd	peptide			no
ARGH_000255	LABG_001024	MQ	ANT(6)-Ia	aminoglycoside			no
ARGH_000256	LABG_001026	Rep99	ANT(9)-Ia	aminoglycoside			no
ARGH_000257	LABG_001027	MQ	tet(B)	tetracycline			no
ARGH_000258	LABG_001027	MQ	tetR	tetracycline			no
ARGH_000259	LABG_001029	MQ	spd	aminoglycoside			no
ARGH_000260	LABG_001030	MQ	mphC	MLS			no
ARGH_000261	LABG_001030	MQ	msrA	MLS			no
ARGH_000262	LABG_001033	MQ	APH(3')-IIIa	aminoglycoside			no
ARGH_000263	LABG_001033	MQ	dfrD	trimethoprim	134_repUS12__rep(pUB110)_AF181950	plasmid_related	yes
ARGH_000264	LABG_001033	MQ	dfrK	trimethoprim	134_repUS12__rep(pUB110)_AF181950	plasmid_related	yes
ARGH_000265	LABG_001033	MQ	Escherichia coli emrE	MLS			no
ARGH_000266	LABG_001033	MQ	lnuC	MLS			no
ARGH_000267	LABG_001033	MQ	SAT-4	aminoglycoside			no
ARGH_000268	LABG_001033	MQ	tet(L)	tetracycline	134_repUS12__rep(pUB110)_AF181950	plasmid_related	yes
ARGH_000269	LABG_001034	MQ	ErmB	MLS			no
ARGH_000270	LABG_001035	MQ	ACI-1	beta-lactam			no
ARGH_000271	LABG_001035	MQ	ErmB	MLS			no
ARGH_000272	LABG_001035	MQ	tet(Q)	tetracycline			no
ARGH_000273	LABG_001037	MQ	tet(44)	tetracycline			no
ARGH_000274	LABG_001039	MQ	sul2	sulfonamide			no
ARGH_000275	LABG_001040	Rep99	ErmB	MLS			no
ARGH_000276	LABG_001041	MQ	Escherichia coli emrE	MLS			no
ARGH_000277	LABG_001041	MQ	Escherichia coli emrE	MLS			no
ARGH_000278	LABG_001041	MQ	tet(M)	tetracycline	2646_Tn916-orf15_KC414929	Tn916	yes
ARGH_000279	LABG_001043	Rep99	ErmX	MLS			no
ARGH_000280	LABG_001044	MQ	ErmT	MLS			no
ARGH_000281	LABG_001044	MQ	lnuA	MLS	66_rep13_4_rep(pKH13)_NC010426.1	plasmid_related	yes
ARGH_000282	LABG_001044	MQ	qacG	disinfecting agents and antiseptics	104_rep21_2_rep(pNVH01)_AJ512814.1	plasmid_related	yes
ARGH_000283	LABG_001044	MQ	tet(L)	tetracycline			no
ARGH_000284	LABG_001045	MQ	Streptococcus suis chloramphenicol acetyltransferase	phenicol			no
ARGH_000285	LABG_001045	MQ	tet(B)	tetracycline			no
ARGH_000286	LABG_001045	MQ	tetR	tetracycline			no
ARGH_000287	LABG_001046	Rep99	tet(L)	tetracycline			no
ARGH_000288	LABG_001046	Rep99	tet(M)	tetracycline			no
ARGH_000289	LABG_001049	Rep99	APH(3')-IIIa	aminoglycoside			no
ARGH_000290	LABG_001049	Rep99	tet(40)	tetracycline			no
ARGH_000291	LABG_001051	MQ	mef(F)	MLS			no
ARGH_000292	LABG_001051	MQ	msr(G)	MLS			no
ARGH_000293	LABG_001052	MQ	dfrD	trimethoprim	134_repUS12__rep(pUB110)_AF181950	plasmid_related	yes
ARGH_000294	LABG_001053	MQ	tet(L)	tetracycline			no
ARGH_000295	LABG_001055	MQ	vatE	MLS			no
ARGH_000296	LABG_001056	Rep99	ErmF	MLS			no
ARGH_000297	LABG_001057	MQ	dfrG	trimethoprim			no
ARGH_000298	LABG_001057	MQ	dfrK	trimethoprim			no
ARGH_000299	LABG_001057	MQ	tet(44)	tetracycline			no
ARGH_000300	LABG_001057	MQ	tet(K)	tetracycline	24_rep7_1_repC(Cassette)_AB037671	plasmid_related	yes
ARGH_000301	LABG_001060	MQ	ErmC	MLS	134_repUS12__rep(pUB110)_AF181950	plasmid_related	yes
ARGH_000302	LABG_001060	MQ	mphC	MLS			no
ARGH_000303	LABG_001060	MQ	msrA	MLS			no
ARGH_000304	LABG_001060	MQ	tet(44)	tetracycline			no
ARGH_000305	LABG_001063	MQ	aadA	aminoglycoside			no
ARGH_000306	LABG_001063	MQ	aadA2	aminoglycoside			no
ARGH_000307	LABG_001063	MQ	cmlA1	phenicol			no
ARGH_000308	LABG_001063	MQ	lnuC	MLS			no
ARGH_000309	LABG_001064	MQ	Erm(52)	MLS			no
ARGH_000310	LABG_001064	MQ	ErmF	MLS			no
ARGH_000311	LABG_001064	MQ	Mef(En2)	MLS			no
ARGH_000312	LABG_001064	MQ	tet(O)	tetracycline			no
ARGH_000313	LABG_001064	MQ	tet(Q)	tetracycline			no
ARGH_000314	LABG_001065	MQ	CfxA6	beta-lactam			no
ARGH_000315	LABG_001065	MQ	lnuB	MLS			no
ARGH_000316	LABG_001065	MQ	lsaE	multidrug			no
ARGH_000317	LABG_001067	MQ	ANT(6)-Ia	aminoglycoside			no
ARGH_000318	LABG_001068	Rep99	Limosilactobacillus reuteri cat-TC	phenicol			no
ARGH_000319	LABG_001069	MQ	ANT(9)-Ia	aminoglycoside	2689_tnpA_KX470419.1	IS_or_transposase	yes
ARGH_000320	LABG_001069	MQ	lnuA	MLS	2689_tnpA_KX470419.1	IS_or_transposase	yes
ARGH_000321	LABG_001070	MQ	lnuC	MLS			no
ARGH_000322	LABG_001071	MQ	erm(56)	MLS			no
ARGH_000323	LABG_001071	MQ	gadW	multidrug			no
ARGH_000324	LABG_001071	MQ	gadX	multidrug			no
ARGH_000325	LABG_001071	MQ	mdtE	multidrug			no
ARGH_000326	LABG_001071	MQ	mdtF	multidrug			no
ARGH_000327	LABG_001071	MQ	TEM-1	beta-lactam	1768_tnpA_FQ482074.1	IS_or_transposase	yes
ARGH_000328	LABG_001073	Rep99	lsaE	multidrug			no
ARGH_000329	LABG_001074	MQ	Streptococcus suis chloramphenicol acetyltransferase	phenicol			no
ARGH_000330	LABG_001076	MQ	Escherichia coli emrE	MLS			no
ARGH_000331	LABG_001076	MQ	gadX	multidrug			no
ARGH_000332	LABG_001076	MQ	Streptococcus suis chloramphenicol acetyltransferase	phenicol			no
ARGH_000333	LABG_001077	MQ	erm(56)	MLS			no
ARGH_000334	LABG_001077	MQ	kdpE	aminoglycoside			no
ARGH_000335	LABG_001077	MQ	linG	MLS			no
ARGH_000336	LABG_001077	MQ	mdtC	multidrug			no
ARGH_000337	LABG_001077	MQ	ugd	peptide			no
ARGH_000338	LABG_001079	MQ	ErmB	MLS			no
ARGH_000339	LABG_001080	MQ	tet(B)	tetracycline			no
ARGH_000340	LABG_001080	MQ	tetR	tetracycline			no
ARGH_000341	LABG_001081	MQ	vatE	MLS			no
ARGH_000342	LABG_001082	MQ	ErmG	MLS			no
ARGH_000343	LABG_001082	MQ	lnuB	MLS			no
ARGH_000344	LABG_001082	MQ	lsaE	multidrug			no
ARGH_000345	LABG_001082	MQ	tet(L)	tetracycline			no
ARGH_000346	LABG_001083	MQ	MCR-1.1	peptide	184_IncX4_1__CP002895	plasmid_related	yes
ARGH_000347	LABG_001084	MQ	Limosilactobacillus reuteri cat-TC	phenicol			no
ARGH_000348	LABG_001085	Rep99	lnuA	MLS			no
ARGH_000349	LABG_001086	MQ	ANT(6)-Ib	aminoglycoside			no
ARGH_000350	LABG_001086	MQ	ErmG	MLS			no
ARGH_000351	LABG_001086	MQ	lnuB	MLS			no
ARGH_000352	LABG_001086	MQ	lsaE	multidrug			no
ARGH_000353	LABG_001086	MQ	tet(44)	tetracycline			no
ARGH_000354	LABG_001086	MQ	tet(L)	tetracycline			no
ARGH_000355	LABG_001087	Rep99	vatE	MLS			no
ARGH_000356	LABG_001090	MQ	ErmF	MLS			no
ARGH_000357	LABG_001090	MQ	Limosilactobacillus reuteri cat-TC	phenicol			no
ARGH_000358	LABG_001090	MQ	tet(Q)	tetracycline			no
ARGH_000359	LABG_001091	Rep99	Enterococcus faecalis chloramphenicol acetyltransferase	phenicol	30_rep7_7_rep(pKH7)_NC002096	plasmid_related	yes
ARGH_000360	LABG_001091	Rep99	ErmT	MLS			no
ARGH_000361	LABG_001098	Rep99	dfrF	trimethoprim			no
ARGH_000362	LABG_001101	Rep99	lnuC	MLS			no
ARGH_000363	LABG_001103	MQ	tet(O)	tetracycline			no
ARGH_000364	LABG_001105	MQ	lnuA	MLS			no
ARGH_000365	LABG_001106	MQ	CfxA6	beta-lactam			no
ARGH_000366	LABG_001107	Rep99	tet(H)	tetracycline			no
ARGH_000367	LABG_001108	MQ	ErmB	MLS			no
ARGH_000368	LABG_001109	Rep99	tet(Q)	tetracycline			no
ARGH_000369	LABG_001109	Rep99	tet(X)	tetracycline			no
ARGH_000370	LABG_001111	Rep99	Escherichia coli emrE	MLS			no
ARGH_000371	LABG_001111	Rep99	lnuA	MLS			no
ARGH_000372	LABG_001111	Rep99	tet(K)	tetracycline	24_rep7_1_repC(Cassette)_AB037671	plasmid_related	yes
ARGH_000373	LABG_001111	Rep99	vatE	MLS			no
ARGH_000374	LABG_001113	MQ	tet(B)	tetracycline			no
ARGH_000375	LABG_001113	MQ	tetR	tetracycline			no
ARGH_000376	LABG_001113	MQ	vatE	MLS			no
ARGH_000377	LABG_001116	Rep99	ANT(6)-Ia	aminoglycoside			no
ARGH_000378	LABG_001119	Rep99	tet(44)	tetracycline			no
ARGH_000379	LABG_001119	Rep99	tet(K)	tetracycline	24_rep7_1_repC(Cassette)_AB037671	plasmid_related	yes
ARGH_000380	LABG_001121	MQ	CfxA2	beta-lactam			no
ARGH_000381	LABG_001124	Rep99	lnuA	MLS			no
ARGH_000382	LABG_001127	Rep99	ugd	peptide			no
ARGH_000383	LABG_001128	MQ	cfrE	multidrug			no
ARGH_000384	LABG_001128	MQ	tet(X)	tetracycline			no
ARGH_000385	LABG_001130	MQ	vatE	MLS			no
ARGH_000386	LABG_001132	Rep99	APH(3')-IIIa	aminoglycoside			no
ARGH_000387	LABG_001133	MQ	Streptococcus suis chloramphenicol acetyltransferase	phenicol			no
ARGH_000388	LABG_001133	MQ	tet(L)	tetracycline			no
ARGH_000389	LABG_001133	MQ	tet(M)	tetracycline			no
ARGH_000390	LABG_001134	Rep99	vatE	MLS			no
ARGH_000391	LABG_001135	Rep99	ErmT	MLS			no
ARGH_000392	LABG_001135	Rep99	Limosilactobacillus reuteri cat-TC	phenicol			no
ARGH_000393	LABG_001135	Rep99	lnuA	MLS			no
ARGH_000394	LABG_001135	Rep99	Streptococcus suis chloramphenicol acetyltransferase	phenicol			no
ARGH_000395	LABG_001136	MQ	APH(3')-IIIa	aminoglycoside			no
ARGH_000396	LABG_001137	MQ	tet(K)	tetracycline	24_rep7_1_repC(Cassette)_AB037671	plasmid_related	yes
ARGH_000397	LABG_001138	Rep99	dfrG	trimethoprim			no
ARGH_000398	LABG_001139	Rep99	Escherichia coli emrE	MLS			no
ARGH_000399	LABG_001140	MQ	cfrA	multidrug			no
